Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
1,UCS,NA,3,339,3.4429690837860107
2,UCS,NA,1,5,0.020632028579711914
3,UCS,NA,NA,1896,50.45560812950134
4,UCS,NA,5,678,13.406858921051025
5,UCS,NA,2,113,1.0359230041503906
6,UCS,NA,NA,180,5.617205381393433
7,UCS,NA,1,4,0.017696857452392578
8,UCS,NA,4,1299,20.945796728134155
9,UCS,NA,3,227,3.417006254196167
10,UCS,NA,1,5,0.02619194984436035
11,UCS,NA,11,4496,141.8351650238037
12,UCS,NA,1,25,0.24463105201721191
13,UCS,NA,2,96,0.9484050273895264
14,UCS,NA,2,174,2.01865291595459
15,UCS,NA,4,441,8.628101825714111
16,UCS,NA,5,511,11.621726989746094
17,UCS,NA,3,340,4.884575128555298
18,UCS,NA,2,63,0.4591648578643799
19,UCS,NA,1,41,0.20115900039672852
20,UCS,NA,3,72,1.3277220726013184
21,UCS,NA,NA,10840,636.1435179710388
22,UCS,NA,9,1658,72.47505474090576
23,UCS,NA,1,6,0.03529715538024902
24,UCS,NA,NA,436,27.26927399635315
25,UCS,NA,1,7,0.024687767028808594
26,UCS,NA,3,110,3.511735200881958
27,UCS,NA,6,609,23.633614778518677
28,UCS,NA,NA,80,4.20079779624939
29,UCS,NA,7,1501,97.41110587120056
30,UCS,NA,3,209,5.327800989151001
31,UCS,NA,NA,552,36.235655069351196
32,UCS,NA,2,130,2.0032460689544678
33,UCS,NA,3,315,8.887794971466064
34,UCS,NA,4,3191,107.29574823379517
35,UCS,NA,NA,236,15.0553457736969
36,UCS,NA,NA,136,9.021992921829224
37,UCS,NA,5,2168,92.11327004432678
38,UCS,NA,3,129,3.7914860248565674
39,UCS,NA,5,9285,477.3509511947632
40,UCS,NA,6,2474,163.973317861557
41,UCS,NA,3,849,24.802298069000244
42,UCS,NA,24,3500,326.62883591651917
43,UCS,NA,5,1145,60.9903621673584
44,UCS,NA,3,380,17.096662998199463
45,UCS,NA,4,3184,161.22691297531128
46,UCS,NA,5,2130,140.6368100643158
47,UCS,NA,5,3558,243.85152101516724
48,UCS,NA,4,578,39.4422390460968
49,UCS,NA,4,1800,91.20322918891907
50,UCS,NA,12,14967,1653.9987330436707
