2 0 2 .HCCKLGH.JKLGAAJ.MG....M..IEEEFFI...
3 1 2 GHCCKLGH.JKLGAAJ.M.....M..IEEEFFI... G99
3 1 2 .HCCKL.H.JKLGAAJ.MG....MG.IEEEFFI... G99
3 1 2 .HCCKLGH..KLGAAJ.MG..J.M..IEEEFFI... J99
3 1 2 .HCCKLGH.JKLGAAJ.MG.I..M..IEEEFF.... I99
4 1 3 .HCC.LGH.JKLGAAJKMG....M..IEEEFFI... K99
4 1 3 .HCC.LGH.J.LGAAJKMG...KM..IEEEFFI... K98
4 2 2 .HCCKLGH.JKLGAAJ.MG....M..IEEEFFI... G98 G99
4 2 2 GHCCKLGH..KLGAAJ.M...J.M..IEEEFFI... J99 G99
4 2 2 GHCCKLGH.JKLGAAJ.M..I..M..IEEEFF.... I99 G99
4 2 2 .HCCKL.H..KLGAAJ.MG..J.MG.IEEEFFI... J99 G99
4 2 2 .HCCKL.H.JKLGAAJ.MG.I..MG.IEEEFF.... I99 G99
4 2 2 .HCCKLGH..KLGAAJ.MG.IJ.M..IEEEFF.... I99 J99
4 2 2 .HCCKLGH.JKLGAAJ.MG.I..M..IEEE.FF... F99 I99
4 2 2 .HCCKLGH.JKLGAAJ.MG.I..M..IEEE..FF.. F98 I99
4 2 2 .HCCKLGH.JKLGAAJ.MG.I..M..IEEE...FF. F97 I99
4 2 2 .HCCKLGH.JKLGAAJ.MG.I..M..IEEE....FF F96 I99
5 2 3 GHCC.LGH.JKLGAAJKM.....M..IEEEFFI... K99 G99
5 2 3 GHCC.LGH.J.LGAAJKM....KM..IEEEFFI... K98 G99
5 2 3 .HCC.L.H.JKLGAAJKMG....MG.IEEEFFI... K99 G99
5 2 3 .HCC.L.H.J.LGAAJKMG...KMG.IEEEFFI... K98 G99
5 2 3 .HCC.LGH..KLGAAJKMG..J.M..IEEEFFI... K99 J99
5 2 3 .HCC.LGH...LGAAJKMG..JKM..IEEEFFI... K98 J99
5 2 3 .HCC.LGH.JKLGAAJKMG.I..M..IEEEFF.... K99 I99
5 2 3 .HCC.LGH.J.LGAAJKMG.I.KM..IEEEFF.... K98 I99
5 2 3 .H.CCLGH.JKLGAAJKMG....M..IEEEFFI... C99 K99
5 2 3 .H.CCLGH.J.LGAAJKMG...KM..IEEEFFI... C99 K98
5 3 2 GHCCKLGH..KLGAAJ.M..IJ.M..IEEEFF.... I99 J99 G99
5 3 2 GHCCKLGH.JKLGAAJ.M..I..M..IEEE.FF... F99 I99 G99
5 3 2 GHCCKLGH.JKLGAAJ.M..I..M..IEEE..FF.. F98 I99 G99
5 3 2 GHCCKLGH.JKLGAAJ.M..I..M..IEEE...FF. F97 I99 G99
5 3 2 GHCCKLGH.JKLGAAJ.M..I..M..IEEE....FF F96 I99 G99
5 3 2 .HCCKL.H..KLGAAJ.MG.IJ.MG.IEEEFF.... I99 J99 G99
5 3 2 .HCCKL.H.JKLGAAJ.MG.I..MG.IEEE.FF... F99 I99 G99
5 3 2 .HCCKL.H.JKLGAAJ.MG.I..MG.IEEE..FF.. F98 I99 G99
5 3 2 .HCCKL.H.JKLGAAJ.MG.I..MG.IEEE...FF. F97 I99 G99
5 3 2 .HCCKL.H.JKLGAAJ.MG.I..MG.IEEE....FF F96 I99 G99
5 3 2 .HCCKLGH..KLGAAJ.MG.IJ.M..IEEE.FF... F99 I99 J99
5 3 2 .HCCKLGH..KLGAAJ.MG.IJ.M..IEEE..FF.. F98 I99 J99
5 3 2 .HCCKLGH..KLGAAJ.MG.IJ.M..IEEE...FF. F97 I99 J99
5 3 2 .HCCKLGH..KLGAAJ.MG.IJ.M..IEEE....FF F96 I99 J99
5 3 2 .HCCKL.H.JKL.AAJ.MG.I..MG.IEEEGFF... G98 F99 I99
5 3 2 .HCCKL.H.JKL.AAJ.MG.I..MG.IEEEG.FF.. G98 F98 I99
5 3 2 .HCCKL.H.JKL.AAJ.MG.I..MG.IEEEG..FF. G98 F97 I99
5 3 2 .HCCKLGH.JKLGAAJ.MG....M..IEEE..IFF. I98 F97 I99
5 3 2 .HCCKL.H.JKL.AAJ.MG.I..MG.IEEEG...FF G98 F96 I99
5 3 2 .HCCKLGH.JKLGAAJ.MG....M..IEEE..I.FF I98 F96 I99
6 3 3 GHCC.LGH..KLGAAJKM...J.M..IEEEFFI... K99 J99 G99
6 3 3 GHCC.LGH...LGAAJKM...JKM..IEEEFFI... K98 J99 G99
6 3 3 GHCC.LGH.JKLGAAJKM..I..M..IEEEFF.... K99 I99 G99
6 3 3 GHCC.LGH.J.LGAAJKM..I.KM..IEEEFF.... K98 I99 G99
6 3 3 .HCC.L.H..KLGAAJKMG..J.MG.IEEEFFI... K99 J99 G99
6 3 3 .HCC.L.H...LGAAJKMG..JKMG.IEEEFFI... K98 J99 G99
6 3 3 .HCC.L.H.JKLGAAJKMG.I..MG.IEEEFF.... K99 I99 G99
6 3 3 .HCC.L.H.J.LGAAJKMG.I.KMG.IEEEFF.... K98 I99 G99
6 3 3 .HCC.LGH..KLGAAJKMG.IJ.M..IEEEFF.... K99 I99 J99
6 3 3 .HCC.LGH...LGAAJKMG.IJKM..IEEEFF.... K98 I99 J99
6 3 3 .HCC.LGH.JKLGAAJKMG.I..M..IEEE.FF... K99 F99 I99
6 3 3 .HCC.LGH.J.LGAAJKMG.I.KM..IEEE.FF... K98 F99 I99
6 3 3 .HCC.LGH.JKLGAAJKMG.I..M..IEEE..FF.. K99 F98 I99
6 3 3 .HCC.LGH.J.LGAAJKMG.I.KM..IEEE..FF.. K98 F98 I99
6 3 3 .HCC.LGH.JKLGAAJKMG.I..M..IEEE...FF. K99 F97 I99
6 3 3 .HCC.LGH.J.LGAAJKMG.I.KM..IEEE...FF. K98 F97 I99
6 3 3 .HCC.LGH.JKLGAAJKMG.I..M..IEEE....FF K99 F96 I99
6 3 3 .HCC.LGH.J.LGAAJKMG.I.KM..IEEE....FF K98 F96 I99
6 3 3 GH.CCLGH.JKLGAAJKM.....M..IEEEFFI... C99 K99 G99
6 3 3 GH.CCLGH.J.LGAAJKM....KM..IEEEFFI... C99 K98 G99
6 3 3 .H.CCL.H.JKLGAAJKMG....MG.IEEEFFI... C99 K99 G99
6 3 3 .H.CCL.H.J.LGAAJKMG...KMG.IEEEFFI... C99 K98 G99
6 3 3 .H.CCLGH..KLGAAJKMG..J.M..IEEEFFI... C99 K99 J99
6 3 3 .H.CCLGH...LGAAJKMG..JKM..IEEEFFI... C99 K98 J99
6 3 3 .H.CCLGH.JKLGAAJKMG.I..M..IEEEFF.... C99 K99 I99
6 3 3 .H.CCLGH.J.LGAAJKMG.I.KM..IEEEFF.... C99 K98 I99
6 4 2 GHCCKLGH..KLGAAJ.M..IJ.M..IEEE.FF... F99 I99 J99 G99
6 4 2 GHCCKLGH..KLGAAJ.M..IJ.M..IEEE..FF.. F98 I99 J99 G99
6 4 2 GHCCKLGH..KLGAAJ.M..IJ.M..IEEE...FF. F97 I99 J99 G99
6 4 2 GHCCKLGH..KLGAAJ.M..IJ.M..IEEE....FF F96 I99 J99 G99
6 4 2 GHCCKLGH.JKLGAAJ.M.....M..IEEE..IFF. I98 F97 I99 G99
6 4 2 GHCCKLGH.JKLGAAJ.M.....M..IEEE..I.FF I98 F96 I99 G99
6 4 2 .HCCKL.H..KLGAAJ.MG.IJ.MG.IEEE.FF... F99 I99 J99 G99
6 4 2 .HCCKL.H..KLGAAJ.MG.IJ.MG.IEEE..FF.. F98 I99 J99 G99
6 4 2 .HCCKL.H..KLGAAJ.MG.IJ.MG.IEEE...FF. F97 I99 J99 G99
6 4 2 .HCCKL.H..KLGAAJ.MG.IJ.MG.IEEE....FF F96 I99 J99 G99
6 4 2 .HCCKL.H.JKLGAAJ.MG....MG.IEEE..IFF. I98 F97 I99 G99
6 4 2 .HCCKL.H.JKLGAAJ.MG....MG.IEEE..I.FF I98 F96 I99 G99
6 4 2 .HCCKL.H..KL.AAJ.MG.IJ.MG.IEEEGFF... G98 F99 I99 J99
6 4 2 .HCCKL.H..KL.AAJ.MG.IJ.MG.IEEEG.FF.. G98 F98 I99 J99
6 4 2 .HCCKL.H..KL.AAJ.MG.IJ.MG.IEEEG..FF. G98 F97 I99 J99
6 4 2 .HCCKLGH..KLGAAJ.MG..J.M..IEEE..IFF. I98 F97 I99 J99
6 4 2 .HCCKL.H..KL.AAJ.MG.IJ.MG.IEEEG...FF G98 F96 I99 J99
6 4 2 .HCCKLGH..KLGAAJ.MG..J.M..IEEE..I.FF I98 F96 I99 J99
6 4 2 .HCCKL.H.JKLAA.J.MG.I..MG.IEEEGFF... A99 G98 F99 I99
6 4 2 .HCCKL.H.JKLAA.J.MG.I..MG.IEEEG.FF.. A99 G98 F98 I99
6 4 2 .HCCKL.H.JKLAA.J.MG.I..MG.IEEEG..FF. A99 G98 F97 I99
6 4 2 .HCCKL.H.JKL.AAJ.MG....MG.IEEEG.IFF. I98 G98 F97 I99
6 4 2 .HCCKL.H.JKLAA.J.MG.I..MG.IEEEG...FF A99 G98 F96 I99
6 4 2 .HCCKL.H.JKL.AAJ.MG....MG.IEEEG.I.FF I98 G98 F96 I99
7 4 3 GHCC.LGH..KLGAAJKM..IJ.M..IEEEFF.... K99 I99 J99 G99
7 4 3 GHCC.LGH...LGAAJKM..IJKM..IEEEFF.... K98 I99 J99 G99
7 4 3 GHCC.LGH.JKLGAAJKM..I..M..IEEE.FF... K99 F99 I99 G99
7 4 3 GHCC.LGH.J.LGAAJKM..I.KM..IEEE.FF... K98 F99 I99 G99
7 4 3 GHCC.LGH.JKLGAAJKM..I..M..IEEE..FF.. K99 F98 I99 G99
7 4 3 GHCC.LGH.J.LGAAJKM..I.KM..IEEE..FF.. K98 F98 I99 G99
7 4 3 GHCC.LGH.JKLGAAJKM..I..M..IEEE...FF. K99 F97 I99 G99
7 4 3 GHCC.LGH.J.LGAAJKM..I.KM..IEEE...FF. K98 F97 I99 G99
7 4 3 GHCC.LGH.JKLGAAJKM..I..M..IEEE....FF K99 F96 I99 G99
7 4 3 GHCC.LGH.J.LGAAJKM..I.KM..IEEE....FF K98 F96 I99 G99
7 4 3 .HCC.L.H..KLGAAJKMG.IJ.MG.IEEEFF.... K99 I99 J99 G99
7 4 3 .HCC.L.H...LGAAJKMG.IJKMG.IEEEFF.... K98 I99 J99 G99
7 4 3 .HCC.L.H.JKLGAAJKMG.I..MG.IEEE.FF... K99 F99 I99 G99
7 4 3 .HCC.L.H.J.LGAAJKMG.I.KMG.IEEE.FF... K98 F99 I99 G99
7 4 3 .HCC.L.H.JKLGAAJKMG.I..MG.IEEE..FF.. K99 F98 I99 G99
7 4 3 .HCC.L.H.J.LGAAJKMG.I.KMG.IEEE..FF.. K98 F98 I99 G99
7 4 3 .HCC.L.H.JKLGAAJKMG.I..MG.IEEE...FF. K99 F97 I99 G99
7 4 3 .HCC.L.H.J.LGAAJKMG.I.KMG.IEEE...FF. K98 F97 I99 G99
7 4 3 .HCC.L.H.JKLGAAJKMG.I..MG.IEEE....FF K99 F96 I99 G99
7 4 3 .HCC.L.H.J.LGAAJKMG.I.KMG.IEEE....FF K98 F96 I99 G99
7 4 3 .HCC.LGH..KLGAAJKMG.IJ.M..IEEE.FF... K99 F99 I99 J99
7 4 3 .HCC.LGH...LGAAJKMG.IJKM..IEEE.FF... K98 F99 I99 J99
7 4 3 .HCC.LGH..KLGAAJKMG.IJ.M..IEEE..FF.. K99 F98 I99 J99
7 4 3 .HCC.LGH...LGAAJKMG.IJKM..IEEE..FF.. K98 F98 I99 J99
7 4 3 .HCC.LGH..KLGAAJKMG.IJ.M..IEEE...FF. K99 F97 I99 J99
7 4 3 .HCC.LGH...LGAAJKMG.IJKM..IEEE...FF. K98 F97 I99 J99
7 4 3 .HCC.LGH..KLGAAJKMG.IJ.M..IEEE....FF K99 F96 I99 J99
7 4 3 .HCC.LGH...LGAAJKMG.IJKM..IEEE....FF K98 F96 I99 J99
7 4 3 .HCC.L.H.JKL.AAJKMG.I..MG.IEEEGFF... K99 G98 F99 I99
7 4 3 .HCC.L.H.J.L.AAJKMG.I.KMG.IEEEGFF... K98 G98 F99 I99
7 4 3 .HCC.L.H.JKL.AAJKMG.I..MG.IEEEG.FF.. K99 G98 F98 I99
7 4 3 .HCC.L.H.J.L.AAJKMG.I.KMG.IEEEG.FF.. K98 G98 F98 I99
7 4 3 .HCC.L.H.JKL.AAJKMG.I..MG.IEEEG..FF. K99 G98 F97 I99
7 4 3 .HCC.L.H.J.L.AAJKMG.I.KMG.IEEEG..FF. K98 G98 F97 I99
7 4 3 .HCC.LGH.JKLGAAJKMG....M..IEEE..IFF. K99 I98 F97 I99
7 4 3 .HCC.LGH.J.LGAAJKMG...KM..IEEE..IFF. K98 I98 F97 I99
7 4 3 .HCC.L.H.JKL.AAJKMG.I..MG.IEEEG...FF K99 G98 F96 I99
7 4 3 .HCC.L.H.J.L.AAJKMG.I.KMG.IEEEG...FF K98 G98 F96 I99
7 4 3 .HCC.LGH.JKLGAAJKMG....M..IEEE..I.FF K99 I98 F96 I99
7 4 3 .HCC.LGH.J.LGAAJKMG...KM..IEEE..I.FF K98 I98 F96 I99
7 4 3 GH.CCLGH..KLGAAJKM...J.M..IEEEFFI... C99 K99 J99 G99
