0 0 0 .HCCKLGH.JKLGAAJ.MG....M..IEEEFFI...
1 1 0 .HCC.LGH.JKLGAAJKMG....M..IEEEFFI... K99
1 1 0 .HCC.LGH.J.LGAAJKMG...KM..IEEEFFI... K98
1 1 0 GHCCKLGH.JKLGAAJ.M.....M..IEEEFFI... G99
1 1 0 .HCCKL.H.JKLGAAJ.MG....MG.IEEEFFI... G99
1 1 0 .HCCKLGH..KLGAAJ.MG..J.M..IEEEFFI... J99
1 1 0 .HCCKLGH.JKLGAAJ.MG.I..M..IEEEFF.... I99
2 2 0 .H.CCLGH.JKLGAAJKMG....M..IEEEFFI... C99 K99
2 2 0 .HCCKLGH.JKLGAAJ.MG....M..IEEEFFI... K98 K99
2 2 0 GHCC.LGH.JKLGAAJKM.....M..IEEEFFI... G99 K99
2 2 0 .HCC.L.H.JKLGAAJKMG....MG.IEEEFFI... G99 K99
2 2 0 .HCC.LGH..KLGAAJKMG..J.M..IEEEFFI... J99 K99
2 2 0 .HCC.LGH.JKLGAAJKMG.I..M..IEEEFF.... I99 K99
2 2 0 .H.CCLGH.J.LGAAJKMG...KM..IEEEFFI... C99 K98
2 2 0 GHCC.LGH.J.LGAAJKM....KM..IEEEFFI... G99 K98
2 2 0 .HCC.L.H.J.LGAAJKMG...KMG.IEEEFFI... G99 K98
2 2 0 .HCC.LGH...LGAAJKMG..JKM..IEEEFFI... J99 K98
2 2 0 .HCC.LGH.J.LGAAJKMG.I.KM..IEEEFF.... I99 K98
2 2 0 GHCCKLGH..KLGAAJ.M...J.M..IEEEFFI... J99 G99
2 2 0 GHCCKLGH.JKLGAAJ.M..I..M..IEEEFF.... I99 G99
2 2 0 .HCCKL.H..KLGAAJ.MG..J.MG.IEEEFFI... J99 G99
2 2 0 .HCCKL.H.JKLGAAJ.MG.I..MG.IEEEFF.... I99 G99
2 2 0 .HCCKLGH..KLGAAJ.MG.IJ.M..IEEEFF.... I99 J99
2 2 0 .HCCKLGH.JKLGAAJ.MG.I..M..IEEE.FF... F99 I99
2 2 0 .HCCKLGH.JKLGAAJ.MG.I..M..IEEE..FF.. F98 I99
2 2 0 .HCCKLGH.JKLGAAJ.MG.I..M..IEEE...FF. F97 I99
2 2 0 .HCCKLGH.JKLGAAJ.MG.I..M..IEEE....FF F96 I99
3 3 0 GH.CCLGH.JKLGAAJKM.....M..IEEEFFI... G99 C99 K99
3 3 0 .H.CCL.H.JKLGAAJKMG....MG.IEEEFFI... G99 C99 K99
3 3 0 .H.CCLGH..KLGAAJKMG..J.M..IEEEFFI... J99 C99 K99
3 3 0 .H.CCLGH.JKLGAAJKMG.I..M..IEEEFF.... I99 C99 K99
3 3 0 GHCC.LGH..KLGAAJKM...J.M..IEEEFFI... J99 G99 K99
3 3 0 GHCC.LGH.JKLGAAJKM..I..M..IEEEFF.... I99 G99 K99
3 3 0 .HCC.L.H..KLGAAJKMG..J.MG.IEEEFFI... J99 G99 K99
3 3 0 .HCC.L.H.JKLGAAJKMG.I..MG.IEEEFF.... I99 G99 K99
3 3 0 .HCC.LGH..KLGAAJKMG.IJ.M..IEEEFF.... I99 J99 K99
3 3 0 .HCC.LGH.JKLGAAJKMG.I..M..IEEE.FF... F99 I99 K99
3 3 0 .HCC.LGH.JKLGAAJKMG.I..M..IEEE..FF.. F98 I99 K99
3 3 0 .HCC.LGH.JKLGAAJKMG.I..M..IEEE...FF. F97 I99 K99
3 3 0 .HCC.LGH.JKLGAAJKMG.I..M..IEEE....FF F96 I99 K99
3 3 0 GH.CCLGH.J.LGAAJKM....KM..IEEEFFI... G99 C99 K98
3 3 0 .H.CCL.H.J.LGAAJKMG...KMG.IEEEFFI... G99 C99 K98
3 3 0 .H.CCLGH...LGAAJKMG..JKM..IEEEFFI... J99 C99 K98
3 3 0 .H.CCLGH.J.LGAAJKMG.I.KM..IEEEFF.... I99 C99 K98
3 3 0 GHCC.LGH...LGAAJKM...JKM..IEEEFFI... J99 G99 K98
3 3 0 GHCC.LGH.J.LGAAJKM..I.KM..IEEEFF.... I99 G99 K98
3 3 0 .HCC.L.H...LGAAJKMG..JKMG.IEEEFFI... J99 G99 K98
3 3 0 .HCC.L.H.J.LGAAJKMG.I.KMG.IEEEFF.... I99 G99 K98
3 3 0 .HCC.LGH...LGAAJKMG.IJKM..IEEEFF.... I99 J99 K98
3 3 0 .HCC.LGH.J.LGAAJKMG.I.KM..IEEE.FF... F99 I99 K98
3 3 0 .HCC.LGH.J.LGAAJKMG.I.KM..IEEE..FF.. F98 I99 K98
3 3 0 .HCC.LGH.J.LGAAJKMG.I.KM..IEEE...FF. F97 I99 K98
3 3 0 .HCC.LGH.J.LGAAJKMG.I.KM..IEEE....FF F96 I99 K98
3 3 0 GHCCKLGH..KLGAAJ.M..IJ.M..IEEEFF.... I99 J99 G99
3 3 0 GHCCKLGH.JKLGAAJ.M..I..M..IEEE.FF... F99 I99 G99
3 3 0 GHCCKLGH.JKLGAAJ.M..I..M..IEEE..FF.. F98 I99 G99
3 3 0 GHCCKLGH.JKLGAAJ.M..I..M..IEEE...FF. F97 I99 G99
3 3 0 GHCCKLGH.JKLGAAJ.M..I..M..IEEE....FF F96 I99 G99
3 3 0 .HCCKL.H..KLGAAJ.MG.IJ.MG.IEEEFF.... I99 J99 G99
3 3 0 .HCCKL.H.JKLGAAJ.MG.I..MG.IEEE.FF... F99 I99 G99
3 3 0 .HCCKL.H.JKLGAAJ.MG.I..MG.IEEE..FF.. F98 I99 G99
3 3 0 .HCCKL.H.JKLGAAJ.MG.I..MG.IEEE...FF. F97 I99 G99
3 3 0 .HCCKL.H.JKLGAAJ.MG.I..MG.IEEE....FF F96 I99 G99
3 3 0 .HCCKLGH..KLGAAJ.MG.IJ.M..IEEE.FF... F99 I99 J99
3 3 0 .HCCKLGH..KLGAAJ.MG.IJ.M..IEEE..FF.. F98 I99 J99
3 3 0 .HCCKLGH..KLGAAJ.MG.IJ.M..IEEE...FF. F97 I99 J99
3 3 0 .HCCKLGH..KLGAAJ.MG.IJ.M..IEEE....FF F96 I99 J99
3 3 0 .HCCKL.H.JKL.AAJ.MG.I..MG.IEEEGFF... G98 F99 I99
3 3 0 .HCCKL.H.JKL.AAJ.MG.I..MG.IEEEG.FF.. G98 F98 I99
3 3 0 .HCCKL.H.JKL.AAJ.MG.I..MG.IEEEG..FF. G98 F97 I99
3 3 0 .HCCKLGH.JKLGAAJ.MG....M..IEEE..IFF. I98 F97 I99
3 3 0 .HCCKL.H.JKL.AAJ.MG.I..MG.IEEEG...FF G98 F96 I99
3 3 0 .HCCKLGH.JKLGAAJ.MG....M..IEEE..I.FF I98 F96 I99
4 4 0 GH.CCLGH..KLGAAJKM...J.M..IEEEFFI... J99 G99 C99 K99
4 4 0 GH.CCLGH.JKLGAAJKM..I..M..IEEEFF.... I99 G99 C99 K99
4 4 0 .H.CCL.H..KLGAAJKMG..J.MG.IEEEFFI... J99 G99 C99 K99
4 4 0 .H.CCL.H.JKLGAAJKMG.I..MG.IEEEFF.... I99 G99 C99 K99
4 4 0 .H.CCLGH..KLGAAJKMG.IJ.M..IEEEFF.... I99 J99 C99 K99
4 4 0 .H.CCLGH.JKLGAAJKMG.I..M..IEEE.FF... F99 I99 C99 K99
4 4 0 .H.CCLGH.JKLGAAJKMG.I..M..IEEE..FF.. F98 I99 C99 K99
4 4 0 .H.CCLGH.JKLGAAJKMG.I..M..IEEE...FF. F97 I99 C99 K99
4 4 0 .H.CCLGH.JKLGAAJKMG.I..M..IEEE....FF F96 I99 C99 K99
4 4 0 GHCC.LGH..KLGAAJKM..IJ.M..IEEEFF.... I99 J99 G99 K99
4 4 0 GHCC.LGH.JKLGAAJKM..I..M..IEEE.FF... F99 I99 G99 K99
4 4 0 GHCC.LGH.JKLGAAJKM..I..M..IEEE..FF.. F98 I99 G99 K99
4 4 0 GHCC.LGH.JKLGAAJKM..I..M..IEEE...FF. F97 I99 G99 K99
4 4 0 GHCC.LGH.JKLGAAJKM..I..M..IEEE....FF F96 I99 G99 K99
4 4 0 .HCC.L.H..KLGAAJKMG.IJ.MG.IEEEFF.... I99 J99 G99 K99
4 4 0 .HCC.L.H.JKLGAAJKMG.I..MG.IEEE.FF... F99 I99 G99 K99
4 4 0 .HCC.L.H.JKLGAAJKMG.I..MG.IEEE..FF.. F98 I99 G99 K99
4 4 0 .HCC.L.H.JKLGAAJKMG.I..MG.IEEE...FF. F97 I99 G99 K99
4 4 0 .HCC.L.H.JKLGAAJKMG.I..MG.IEEE....FF F96 I99 G99 K99
4 4 0 .HCC.LGH..KLGAAJKMG.IJ.M..IEEE.FF... F99 I99 J99 K99
4 4 0 .HCC.LGH..KLGAAJKMG.IJ.M..IEEE..FF.. F98 I99 J99 K99
4 4 0 .HCC.LGH..KLGAAJKMG.IJ.M..IEEE...FF. F97 I99 J99 K99
4 4 0 .HCC.LGH..KLGAAJKMG.IJ.M..IEEE....FF F96 I99 J99 K99
4 4 0 .HCC.L.H.JKL.AAJKMG.I..MG.IEEEGFF... G98 F99 I99 K99
4 4 0 .HCC.L.H.JKL.AAJKMG.I..MG.IEEEG.FF.. G98 F98 I99 K99
4 4 0 .HCC.L.H.JKL.AAJKMG.I..MG.IEEEG..FF. G98 F97 I99 K99
4 4 0 .HCC.LGH.JKLGAAJKMG....M..IEEE..IFF. I98 F97 I99 K99
4 4 0 .HCC.L.H.JKL.AAJKMG.I..MG.IEEEG...FF G98 F96 I99 K99
4 4 0 .HCC.LGH.JKLGAAJKMG....M..IEEE..I.FF I98 F96 I99 K99
4 4 0 GH.CCLGH...LGAAJKM...JKM..IEEEFFI... J99 G99 C99 K98
4 4 0 GH.CCLGH.J.LGAAJKM..I.KM..IEEEFF.... I99 G99 C99 K98
4 4 0 .H.CCL.H...LGAAJKMG..JKMG.IEEEFFI... J99 G99 C99 K98
4 4 0 .H.CCL.H.J.LGAAJKMG.I.KMG.IEEEFF.... I99 G99 C99 K98
4 4 0 .H.CCLGH...LGAAJKMG.IJKM..IEEEFF.... I99 J99 C99 K98
4 4 0 .H.CCLGH.J.LGAAJKMG.I.KM..IEEE.FF... F99 I99 C99 K98
4 4 0 .H.CCLGH.J.LGAAJKMG.I.KM..IEEE..FF.. F98 I99 C99 K98
4 4 0 .H.CCLGH.J.LGAAJKMG.I.KM..IEEE...FF. F97 I99 C99 K98
4 4 0 .H.CCLGH.J.LGAAJKMG.I.KM..IEEE....FF F96 I99 C99 K98
4 4 0 GHCC.LGH...LGAAJKM..IJKM..IEEEFF.... I99 J99 G99 K98
4 4 0 GHCC.LGH.J.LGAAJKM..I.KM..IEEE.FF... F99 I99 G99 K98
4 4 0 GHCC.LGH.J.LGAAJKM..I.KM..IEEE..FF.. F98 I99 G99 K98
4 4 0 GHCC.LGH.J.LGAAJKM..I.KM..IEEE...FF. F97 I99 G99 K98
4 4 0 GHCC.LGH.J.LGAAJKM..I.KM..IEEE....FF F96 I99 G99 K98
4 4 0 .HCC.L.H...LGAAJKMG.IJKMG.IEEEFF.... I99 J99 G99 K98
4 4 0 .HCC.L.H.J.LGAAJKMG.I.KMG.IEEE.FF... F99 I99 G99 K98
4 4 0 .HCC.L.H.J.LGAAJKMG.I.KMG.IEEE..FF.. F98 I99 G99 K98
4 4 0 .HCC.L.H.J.LGAAJKMG.I.KMG.IEEE...FF. F97 I99 G99 K98
4 4 0 .HCC.L.H.J.LGAAJKMG.I.KMG.IEEE....FF F96 I99 G99 K98
4 4 0 .HCC.LGH...LGAAJKMG.IJKM..IEEE.FF... F99 I99 J99 K98
4 4 0 .HCC.LGH...LGAAJKMG.IJKM..IEEE..FF.. F98 I99 J99 K98
4 4 0 .HCC.LGH...LGAAJKMG.IJKM..IEEE...FF. F97 I99 J99 K98
4 4 0 .HCC.LGH...LGAAJKMG.IJKM..IEEE....FF F96 I99 J99 K98
4 4 0 .HCC.L.H.J.L.AAJKMG.I.KMG.IEEEGFF... G98 F99 I99 K98
4 4 0 .HCC.L.H.J.L.AAJKMG.I.KMG.IEEEG.FF.. G98 F98 I99 K98
4 4 0 .HCC.L.H.J.L.AAJKMG.I.KMG.IEEEG..FF. G98 F97 I99 K98
4 4 0 .HCC.LGH.J.LGAAJKMG...KM..IEEE..IFF. I98 F97 I99 K98
4 4 0 .HCC.L.H.J.L.AAJKMG.I.KMG.IEEEG...FF G98 F96 I99 K98
4 4 0 .HCC.LGH.J.LGAAJKMG...KM..IEEE..I.FF I98 F96 I99 K98
4 4 0 GHCCKLGH..KLGAAJ.M..IJ.M..IEEE.FF... F99 I99 J99 G99
4 4 0 GHCCKLGH..KLGAAJ.M..IJ.M..IEEE..FF.. F98 I99 J99 G99
4 4 0 GHCCKLGH..KLGAAJ.M..IJ.M..IEEE...FF. F97 I99 J99 G99
4 4 0 GHCCKLGH..KLGAAJ.M..IJ.M..IEEE....FF F96 I99 J99 G99
4 4 0 GHCCKLGH.JKLGAAJ.M.....M..IEEE..IFF. I98 F97 I99 G99
4 4 0 GHCCKLGH.JKLGAAJ.M.....M..IEEE..I.FF I98 F96 I99 G99
4 4 0 .HCCKL.H..KLGAAJ.MG.IJ.MG.IEEE.FF... F99 I99 J99 G99
4 4 0 .HCCKL.H..KLGAAJ.MG.IJ.MG.IEEE..FF.. F98 I99 J99 G99
