Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
1,UCS,NA,3,339,3.442969084
1,GBFS,h1,3,65,0.187289238
1,GBFS,h2,3,65,0.184248209
1,GBFS,h3,3,65,0.180665255
1,GBFS,h4,3,65,0.216455221
1,GBFS,h5,4,77,0.267996073
1,A/A*,h1,3,153,0.905751944
1,A/A*,h2,3,153,0.887836933
1,A/A*,h3,3,55,0.18601203
1,A/A*,h4,3,69,0.2802248
1,A/A*,h5,3,138,1.153908014
2,UCS,NA,1,5,0.020632029
2,GBFS,h1,1,0,0.02123785
2,GBFS,h2,1,0,0.020853043
2,GBFS,h3,1,0,0.020002842
2,GBFS,h4,1,0,0.024710894
2,GBFS,h5,1,0,0.023988962
2,A/A*,h1,1,5,0.021454096
2,A/A*,h2,1,5,0.020733118
2,A/A*,h3,1,5,0.021157026
2,A/A*,h4,1,5,0.024697781
2,A/A*,h5,1,5,0.024965048
3,UCS,NA,NA,1896,50.45560813
3,GBFS,h1,NA,17129,49.27484536
3,GBFS,h2,NA,17129,51.76593781
3,GBFS,h3,NA,17129,50.37746096
3,GBFS,h4,NA,17129,58.47557783
3,GBFS,h5,NA,17635,57.15187097
3,A/A*,h1,NA,1896,52.20923209
3,A/A*,h2,NA,1896,53.69222689
3,A/A*,h3,NA,2317,57.02239323
3,A/A*,h4,NA,1991,69.55867314
3,A/A*,h5,NA,1896,62.20710087
4,UCS,NA,5,678,13.40685892
4,GBFS,h1,5,93,0.225245237
4,GBFS,h2,5,93,0.27530098
4,GBFS,h3,5,93,0.229223967
4,GBFS,h4,5,93,0.270782232
4,GBFS,h5,8,115,0.434632063
4,A/A*,h1,5,338,2.98759222
4,A/A*,h2,5,338,2.70989418
4,A/A*,h3,5,74,0.280114889
4,A/A*,h4,5,87,0.373950005
4,A/A*,h5,6,340,4.429795027
5,UCS,NA,2,113,1.035923004
5,GBFS,h1,2,40,0.168967962
5,GBFS,h2,2,40,0.179109812
5,GBFS,h3,2,40,0.170910835
5,GBFS,h4,2,40,0.203241825
5,GBFS,h5,2,27,0.157524824
5,A/A*,h1,2,64,0.464410067
5,A/A*,h2,2,64,0.453334093
5,A/A*,h3,2,40,0.194412947
5,A/A*,h4,2,40,0.232646942
5,A/A*,h5,2,51,0.449067116
6,UCS,NA,NA,180,5.617205381
6,GBFS,h1,NA,1152,5.583507061
6,GBFS,h2,NA,1152,6.082642317
6,GBFS,h3,NA,1152,5.527895927
6,GBFS,h4,NA,1152,6.576917171
6,GBFS,h5,NA,1152,6.454252005
6,A/A*,h1,NA,180,5.843410969
6,A/A*,h2,NA,180,5.972338915
6,A/A*,h3,NA,227,5.996482134
6,A/A*,h4,NA,180,7.018615007
6,A/A*,h5,NA,180,7.043997049
7,UCS,NA,1,4,0.017696857
7,GBFS,h1,1,0,0.018296957
7,GBFS,h2,1,0,0.019469976
7,GBFS,h3,1,0,0.018851995
7,GBFS,h4,1,0,0.023343801
7,GBFS,h5,1,0,0.022796154
7,A/A*,h1,1,4,0.01798892
7,A/A*,h2,1,4,0.018763781
7,A/A*,h3,1,4,0.018477917
7,A/A*,h4,1,4,0.022511244
7,A/A*,h5,1,4,0.022228956
8,UCS,NA,4,1299,20.94579673
8,GBFS,h1,4,102,0.228415012
8,GBFS,h2,4,102,0.23675704
8,GBFS,h3,4,102,0.23784709
8,GBFS,h4,4,102,0.276859999
8,GBFS,h5,6,117,0.379045963
8,A/A*,h1,4,466,3.088080883
8,A/A*,h2,4,466,3.114296198
8,A/A*,h3,4,89,0.268227816
8,A/A*,h4,4,97,0.360780001
8,A/A*,h5,5,383,3.944889069
9,UCS,NA,3,227,3.417006254
9,GBFS,h1,3,54,0.203351021
9,GBFS,h2,3,54,0.220695972
9,GBFS,h3,3,54,0.221856117
9,GBFS,h4,3,54,0.245149851
9,GBFS,h5,4,46,0.280763865
9,A/A*,h1,3,126,1.083585978
9,A/A*,h2,3,126,1.126355886
9,A/A*,h3,3,44,0.229581118
9,A/A*,h4,3,59,0.355868101
9,A/A*,h5,3,96,1.102469921
10,UCS,NA,1,5,0.02619195
10,GBFS,h1,1,0,0.025925159
10,GBFS,h2,1,0,0.03238678
10,GBFS,h3,1,0,0.026370764
10,GBFS,h4,1,0,0.030997992
10,GBFS,h5,1,0,0.031192064
10,A/A*,h1,1,5,0.025738955
10,A/A*,h2,1,5,0.026732206
10,A/A*,h3,1,5,0.026493788
10,A/A*,h4,1,5,0.031646013
10,A/A*,h5,1,5,0.033149004
11,UCS,NA,11,4496,141.835165
11,GBFS,h1,11,8421,15.59044099
11,GBFS,h2,11,7594,15.41372395
11,GBFS,h3,11,8421,15.97127581
11,GBFS,h4,11,10478,23.75757885
11,GBFS,h5,13,13571,33.00365901
11,A/A*,h1,11,4075,108.2397492
11,A/A*,h2,11,4048,113.8140421
11,A/A*,h3,11,1915,14.69433904
11,A/A*,h4,11,2271,42.30770779
11,A/A*,h5,11,4142,133.7422683
12,UCS,NA,1,25,0.244631052
12,GBFS,h1,1,23,0.131891251
12,GBFS,h2,1,23,0.136765003
12,GBFS,h3,1,23,0.159044027
12,GBFS,h4,1,23,0.161031008
12,GBFS,h5,1,0,0.044004202
12,A/A*,h1,1,21,0.168872118
12,A/A*,h2,1,21,0.166934013
12,A/A*,h3,1,21,0.154102087
12,A/A*,h4,1,21,0.17736125
12,A/A*,h5,1,8,0.040350914
13,UCS,NA,2,96,0.948405027
13,GBFS,h1,2,49,0.140631199
13,GBFS,h2,2,49,0.148408175
13,GBFS,h3,2,49,0.149044991
13,GBFS,h4,2,49,0.170572042
13,GBFS,h5,2,33,0.138895035
13,A/A*,h1,2,52,0.416913986
13,A/A*,h2,2,52,0.422826052
13,A/A*,h3,2,40,0.173808813
13,A/A*,h4,2,40,0.204119205
13,A/A*,h5,2,35,0.298137188
14,UCS,NA,2,174,2.018652916
14,GBFS,h1,2,73,0.173949957
14,GBFS,h2,2,73,0.181689024
14,GBFS,h3,2,73,0.174567223
14,GBFS,h4,2,73,0.209352255
