3 0 3 KKKCDJH..CDJHAACGM....GM.BBLL.EEE...
3 1 2 KKKCDJH..CDJHAACG.....GM.BBLLMEEE... M1
3 1 2 KKKCDJH..CDJHAACG.....G..BBLLMEEE..M M0
4 1 3 KKK.DJH..CDJHAACGM...CGM.BBLL.EEE... C99
4 1 3 KKKCDJ...CDJHAACGMH...GM.BBLL.EEE... H4
4 1 3 KKKCDJ...CDJ.AACGMH...GMHBBLL.EEE... H3
4 1 3 KKKCDJH..CDJHAACGM....GMBB.LL.EEE... B99
4 1 3 KKKCDJH..CDJHAACGM....GM.BB.LLEEE... L99
4 1 3 KKKCDJH..CDJHAACGM....GM.BBLL..EEE.. E99
4 1 3 KKKCDJH..CDJHAACGM....GM.BBLL...EEE. E98
4 1 3 KKKCDJH..CDJHAACGM....GM.BBLL....EEE E97
4 2 2 KKK.DJH..CDJHAACG....CGM.BBLLMEEE... C99 M1
4 2 2 KKKCDJ...CDJHAACG.H...GM.BBLLMEEE... H4 M1
4 2 2 KKKCDJ...CDJ.AACG.H...GMHBBLLMEEE... H3 M1
4 2 2 KKKCDJH..CDJHAACG.....GMBB.LLMEEE... B99 M1
4 2 2 KKKCDJH..CDJHAACG.....GM.BBLLM.EEE.. E99 M1
4 2 2 KKKCDJH..CDJHAACG.....GM.BBLLM..EEE. E98 M1
4 2 2 KKKCDJH..CDJHAACG.....GM.BBLLM...EEE E97 M1
4 2 2 KKK.DJH..CDJHAACG....CG..BBLLMEEE..M C99 M0
4 2 2 KKKCDJ...CDJHAACG.H...G..BBLLMEEE..M H4 M0
4 2 2 KKKCDJ...CDJ.AACG.H...G.HBBLLMEEE..M H3 M0
4 2 2 KKKCDJH..CDJHAACG.....G.BB.LLMEEE..M B99 M0
4 2 2 KKKCDJH..CDJHAACG.....G..BBLLM.EEE.M E99 M0
4 2 2 KKKCDJH..CDJHAACG.....G..BBLLM..EEEM E98 M0
4 2 2 KKK.DJH...DJHAA.GM...CGM.BBCLLEEEC.. C97 L99
5 2 3 KKKCD.H..CDJHAACGJ....GM.BBLLMEEE... J4 M1
5 2 3 KKKCDJH..CDJHAACGM....GM.BBLL.EEE... M0 M1
5 2 3 KKKCD.H..CDJHAACGJ....G..BBLLMEEE..M J4 M0
5 2 3 KKKCD.H..CD.HAACGJ....GJ.BBLLMEEE..M J3 M0
5 2 3 .KKKDJH..CDJHAACGM...CGM.BBLL.EEE... K99 C99
5 2 3 KKK.DJ...CDJHAACGMH..CGM.BBLL.EEE... H4 C99
5 2 3 KKK.DJ...CDJ.AACGMH..CGMHBBLL.EEE... H3 C99
5 2 3 KKK.DJH..CDJHAACGM...CGMBB.LL.EEE... B99 C99
5 2 3 KKK.DJH..CDJHAACGM...CGM.BB.LLEEE... L99 C99
5 2 3 KKK.DJH..CDJHAACGM...CGM.BBLL..EEE.. E99 C99
5 2 3 KKK.DJH..CDJHAACGM...CGM.BBLL...EEE. E98 C99
5 2 3 KKK.DJH..CDJHAACGM...CGM.BBLL....EEE E97 C99
5 2 3 KKKCDJ...CDJHAACGMH...GMBB.LL.EEE... B99 H4
5 2 3 KKKCDJ...CDJHAACGMH...GM.BB.LLEEE... L99 H4
5 2 3 KKKCDJ...CDJHAACGMH...GM.BBLL..EEE.. E99 H4
5 2 3 KKKCDJ...CDJHAACGMH...GM.BBLL...EEE. E98 H4
5 2 3 KKKCDJ...CDJHAACGMH...GM.BBLL....EEE E97 H4
5 2 3 KKKCDJ...CDJAA.CGMH...GMHBBLL.EEE... A99 H3
5 2 3 KKKCDJ...CDJ.AACGMH...GMHBB.LLEEE... L99 H3
5 2 3 KKKCDJ...CDJ.AACGMH...GMHBBLL..EEE.. E99 H3
5 2 3 KKKCDJ...CDJ.AACGMH...GMHBBLL...EEE. E98 H3
5 2 3 KKKCDJ...CDJ.AACGMH...GMHBBLL....EEE E97 H3
5 2 3 KKKCDJH..CDJHAACGM....GMBBLL..EEE... L99 B99
5 2 3 KKKCDJH..CDJHAACGM....GMBB..LLEEE... L99 B99
5 2 3 KKKCDJH..CDJHAACGM....GMBB.LL..EEE.. E99 B99
5 2 3 KKKCDJH..CDJHAACGM....GMBB.LL...EEE. E98 B99
5 2 3 KKKCDJH..CDJHAACGM....GMBB.LL....EEE E97 B99
5 2 3 KKK.DJH...DJHAACGM...CGM.BBCLLEEE... C98 L99
5 2 3 KKKCDJH..CDJHAACGM....GM..BBLLEEE... B99 L99
5 2 3 KKKCDJH..CDJHAACGM....GM.BB.LL.EEE.. E99 L99
5 2 3 KKKCDJH..CDJHAACGM....GM.BB.LL..EEE. E98 L99
5 2 3 KKKCDJH..CDJHAACGM....GM.BB.LL...EEE E97 L99
5 2 3 KKKCDJ...CDJ.AACGM....GMHBBLL.HEEE.. H2 E99
5 2 3 KKKCDJ...CDJ.AACGM....GMHBBLL.H.EEE. H2 E98
5 2 3 KKKCDJ...CDJ.AACGM....GMHBBLL.H..EEE H2 E97
5 3 2 .KKKDJH..CDJHAACG....CGM.BBLLMEEE... K99 C99 M1
5 3 2 KKK.DJ...CDJHAACG.H..CGM.BBLLMEEE... H4 C99 M1
5 3 2 KKK.DJ...CDJ.AACG.H..CGMHBBLLMEEE... H3 C99 M1
5 3 2 KKK.DJH..CDJHAACG....CGMBB.LLMEEE... B99 C99 M1
5 3 2 KKK.DJH..CDJHAACG....CGM.BBLLM.EEE.. E99 C99 M1
5 3 2 KKK.DJH..CDJHAACG....CGM.BBLLM..EEE. E98 C99 M1
5 3 2 KKK.DJH..CDJHAACG....CGM.BBLLM...EEE E97 C99 M1
5 3 2 KKKCDJ...CDJHAACG.H...GMBB.LLMEEE... B99 H4 M1
5 3 2 KKKCDJ...CDJHAACG.H...GM.BBLLM.EEE.. E99 H4 M1
5 3 2 KKKCDJ...CDJHAACG.H...GM.BBLLM..EEE. E98 H4 M1
5 3 2 KKKCDJ...CDJHAACG.H...GM.BBLLM...EEE E97 H4 M1
5 3 2 KKKCDJ...CDJAA.CG.H...GMHBBLLMEEE... A99 H3 M1
5 3 2 KKKCDJ...CDJ.AACG.H...GMHBBLLM.EEE.. E99 H3 M1
5 3 2 KKKCDJ...CDJ.AACG.H...GMHBBLLM..EEE. E98 H3 M1
5 3 2 KKKCDJ...CDJ.AACG.H...GMHBBLLM...EEE E97 H3 M1
5 3 2 KKKCDJH..CDJHAACG.....GMBBLL.MEEE... L99 B99 M1
5 3 2 KKKCDJH..CDJHAACG.....GMBB.LLM.EEE.. E99 B99 M1
5 3 2 KKKCDJH..CDJHAACG.....GMBB.LLM..EEE. E98 B99 M1
5 3 2 KKKCDJH..CDJHAACG.....GMBB.LLM...EEE E97 B99 M1
5 3 2 KKKCDJ...CDJ.AACG.....GMHBBLLMHEEE.. H2 E99 M1
5 3 2 KKKCDJ...CDJ.AACG.....GMHBBLLMH.EEE. H2 E98 M1
5 3 2 KKKCDJ...CDJ.AACG.....GMHBBLLMH..EEE H2 E97 M1
5 3 2 .KKKDJH..CDJHAACG....CG..BBLLMEEE..M K99 C99 M0
5 3 2 KKK.DJ...CDJHAACG.H..CG..BBLLMEEE..M H4 C99 M0
5 3 2 KKK.DJ...CDJ.AACG.H..CG.HBBLLMEEE..M H3 C99 M0
5 3 2 KKK.DJH..CDJHAACG....CG.BB.LLMEEE..M B99 C99 M0
5 3 2 KKK.DJH..CDJHAACG....CG..BBLLM.EEE.M E99 C99 M0
5 3 2 KKK.DJH..CDJHAACG....CG..BBLLM..EEEM E98 C99 M0
5 3 2 KKKCDJ...CDJHAACG.H...G.BB.LLMEEE..M B99 H4 M0
5 3 2 KKKCDJ...CDJHAACG.H...G..BBLLM.EEE.M E99 H4 M0
5 3 2 KKKCDJ...CDJHAACG.H...G..BBLLM..EEEM E98 H4 M0
5 3 2 KKKCDJ...CDJAA.CG.H...G.HBBLLMEEE..M A99 H3 M0
5 3 2 KKKCDJ...CDJ.AACG.H...G.HBBLLM.EEE.M E99 H3 M0
5 3 2 KKKCDJ...CDJ.AACG.H...G.HBBLLM..EEEM E98 H3 M0
5 3 2 KKKCDJH..CDJHAACG.....G.BBLL.MEEE..M L99 B99 M0
5 3 2 KKKCDJH..CDJHAACG.....G.BB.LLM.EEE.M E99 B99 M0
5 3 2 KKKCDJH..CDJHAACG.....G.BB.LLM..EEEM E98 B99 M0
5 3 2 KKKCDJ...CDJ.AACG.....G.HBBLLMHEEE.M H2 E99 M0
5 3 2 KKKCDJ...CDJ.AACG.....G.HBBLLMH.EEEM H2 E98 M0
5 3 2 .KKKDJH...DJHAA.GM...CGM.BBCLLEEEC.. K99 C97 L99
5 3 2 KKK.DJ....DJHAA.GMH..CGM.BBCLLEEEC.. H4 C97 L99
5 3 2 KKK.DJ....DJ.AA.GMH..CGMHBBCLLEEEC.. H3 C97 L99
5 3 2 KKK.DJH...DJH.AAGM...CGM.BBCLLEEEC.. A99 C97 L99
5 3 2 KKK.DJH...DJHAA.GM...CGMBB.CLLEEEC.. B99 C97 L99
5 3 2 KKKCDJH..CDJHAAC.M....GMBBLLG.EEE... G6 L99 B99
5 3 2 KKKCDJH..CDJHAAC.M.....MBBLLG.EEE.G. G5 L99 B99
5 4 1 KKKCDJH..CDJHAAC......GMBBLLGMEEE... G6 L99 B99 M1
5 4 1 KKKCDJH..CDJHAAC.......MBBLLGMEEE.G. G5 L99 B99 M1
5 4 1 KKKCDJH..CDJHAAC......G.BBLLGMEEE..M G6 L99 B99 M0
5 4 1 KKKCDJH..CDJHAAC........BBLLGMEEE.GM G5 L99 B99 M0
6 3 3 KKK.D.H..CDJHAACGJ...CGM.BBLLMEEE... J4 C99 M1
6 3 3 KKKCD....CDJHAACGJH...GM.BBLLMEEE... J4 H4 M1
6 3 3 KKKCD....CDJ.AACGJH...GMHBBLLMEEE... J4 H3 M1
6 3 3 KKKCD.H..CDJHAACGJ....GMBB.LLMEEE... J4 B99 M1
