3 0 3 KKKCDJH..CDJHAACGM....GM.BBLL.EEE...
4 1 3 KKK.DJH..CDJHAACGM...CGM.BBLL.EEE... C99
4 1 3 KKKCDJ...CDJHAACGMH...GM.BBLL.EEE... H4
4 1 3 KKKCDJ...CDJ.AACGMH...GMHBBLL.EEE... H3
4 1 3 KKKCDJH..CDJHAACG.....GM.BBLLMEEE... M1
4 1 3 KKKCDJH..CDJHAACG.....G..BBLLMEEE..M M0
4 1 3 KKKCDJH..CDJHAACGM....GMBB.LL.EEE... B99
4 1 3 KKKCDJH..CDJHAACGM....GM.BB.LLEEE... L99
4 1 3 KKKCDJH..CDJHAACGM....GM.BBLL..EEE.. E99
4 1 3 KKKCDJH..CDJHAACGM....GM.BBLL...EEE. E98
4 1 3 KKKCDJH..CDJHAACGM....GM.BBLL....EEE E97
5 2 3 .KKKDJH..CDJHAACGM...CGM.BBLL.EEE... K99 C99
5 2 3 KKKCDJH..CDJHAACGM....GM.BBLL.EEE... C98 C99
5 2 3 KKK.DJ...CDJHAACGMH..CGM.BBLL.EEE... H4 C99
5 2 3 KKK.DJ...CDJ.AACGMH..CGMHBBLL.EEE... H3 C99
5 2 3 KKK.DJH..CDJHAACG....CGM.BBLLMEEE... M1 C99
5 2 3 KKK.DJH..CDJHAACG....CG..BBLLMEEE..M M0 C99
5 2 3 KKK.DJH..CDJHAACGM...CGMBB.LL.EEE... B99 C99
5 2 3 KKK.DJH..CDJHAACGM...CGM.BB.LLEEE... L99 C99
5 2 3 KKK.DJH..CDJHAACGM...CGM.BBLL..EEE.. E99 C99
5 2 3 KKK.DJH..CDJHAACGM...CGM.BBLL...EEE. E98 C99
5 2 3 KKK.DJH..CDJHAACGM...CGM.BBLL....EEE E97 C99
5 2 3 KKKCDJ...CDJHAACG.H...GM.BBLLMEEE... M1 H4
5 2 3 KKKCDJ...CDJHAACG.H...G..BBLLMEEE..M M0 H4
5 2 3 KKKCDJ...CDJHAACGMH...GMBB.LL.EEE... B99 H4
5 2 3 KKKCDJ...CDJHAACGMH...GM.BB.LLEEE... L99 H4
5 2 3 KKKCDJ...CDJHAACGMH...GM.BBLL..EEE.. E99 H4
5 2 3 KKKCDJ...CDJHAACGMH...GM.BBLL...EEE. E98 H4
5 2 3 KKKCDJ...CDJHAACGMH...GM.BBLL....EEE E97 H4
5 2 3 KKKCDJ...CDJ.AACG.H...GMHBBLLMEEE... M1 H3
5 2 3 KKKCDJ...CDJ.AACG.H...G.HBBLLMEEE..M M0 H3
5 2 3 KKKCDJ...CDJ.AACGMH...GMHBB.LLEEE... L99 H3
5 2 3 KKKCDJ...CDJ.AACGMH...GMHBBLL..EEE.. E99 H3
5 2 3 KKKCDJ...CDJ.AACGMH...GMHBBLL...EEE. E98 H3
5 2 3 KKKCDJ...CDJ.AACGMH...GMHBBLL....EEE E97 H3
5 2 3 KKKCD.H..CDJHAACGJ....GM.BBLLMEEE... J4 M1
5 2 3 KKKCDJH..CDJHAACG.....GMBB.LLMEEE... B99 M1
5 2 3 KKKCDJH..CDJHAACG.....GM.BBLLM.EEE.. E99 M1
5 2 3 KKKCDJH..CDJHAACG.....GM.BBLLM..EEE. E98 M1
5 2 3 KKKCDJH..CDJHAACG.....GM.BBLLM...EEE E97 M1
5 2 3 KKKCD.H..CDJHAACGJ....G..BBLLMEEE..M J4 M0
5 2 3 KKKCD.H..CD.HAACGJ....GJ.BBLLMEEE..M J3 M0
5 2 3 KKKCDJH..CDJHAACG.....G.BB.LLMEEE..M B99 M0
5 2 3 KKKCDJH..CDJHAACG.....G..BBLLM.EEE.M E99 M0
5 2 3 KKKCDJH..CDJHAACG.....G..BBLLM..EEEM E98 M0
5 2 3 KKKCDJH..CDJHAACGM....GMBBLL..EEE... L99 B99
5 2 3 KKKCDJH..CDJHAACGM....GMBB..LLEEE... L99 B99
5 2 3 KKKCDJH..CDJHAACGM....GMBB.LL..EEE.. E99 B99
5 2 3 KKKCDJH..CDJHAACGM....GMBB.LL...EEE. E98 B99
5 2 3 KKKCDJH..CDJHAACGM....GMBB.LL....EEE E97 B99
5 2 3 KKK.DJH...DJHAACGM...CGM.BBCLLEEE... C98 L99
5 2 3 KKK.DJH...DJHAA.GM...CGM.BBCLLEEEC.. C97 L99
5 2 3 KKKCDJH..CDJHAACGM....GM..BBLLEEE... B99 L99
5 2 3 KKKCDJH..CDJHAACGM....GM.BB.LL.EEE.. E99 L99
5 2 3 KKKCDJH..CDJHAACGM....GM.BB.LL..EEE. E98 L99
5 2 3 KKKCDJH..CDJHAACGM....GM.BB.LL...EEE E97 L99
5 2 3 KKKCDJ...CDJ.AACGM....GMHBBLL.HEEE.. H2 E99
5 2 3 KKKCDJ...CDJ.AACGM....GMHBBLL.H.EEE. H2 E98
5 2 3 KKKCDJ...CDJ.AACGM....GMHBBLL.H..EEE H2 E97
5 3 2 KKK.DJH...DJH.AAGM...CGM.BBCLLEEEC.. A99 C97 L99
6 2 4 KKKCDJ...CDJAA.CGMH...GMHBBLL.EEE... A99 H3
6 3 3 HKKKDJH..CDJ.AACGM...CGM.BBLL.EEE... H4 K99 C99
6 3 3 .KKKDJ...CDJHAACGMH..CGM.BBLL.EEE... H4 K99 C99
6 3 3 .KKKDJ...CDJ.AACGMH..CGMHBBLL.EEE... H3 K99 C99
6 3 3 .KKKDJH..CDJHAACG....CGM.BBLLMEEE... M1 K99 C99
6 3 3 .KKKDJH..CDJHAACG....CG..BBLLMEEE..M M0 K99 C99
6 3 3 .KKKDJH..CDJHAACGM...CGMBB.LL.EEE... B99 K99 C99
6 3 3 .KKKDJH..CDJHAACGM...CGM.BB.LLEEE... L99 K99 C99
6 3 3 .KKKDJH..CDJHAACGM...CGM.BBLL..EEE.. E99 K99 C99
6 3 3 .KKKDJH..CDJHAACGM...CGM.BBLL...EEE. E98 K99 C99
6 3 3 .KKKDJH..CDJHAACGM...CGM.BBLL....EEE E97 K99 C99
6 3 3 KKK.DJ...CDJHAACG.H..CGM.BBLLMEEE... M1 H4 C99
6 3 3 KKK.DJ...CDJHAACG.H..CG..BBLLMEEE..M M0 H4 C99
6 3 3 KKK.DJ...CDJHAACGMH..CGMBB.LL.EEE... B99 H4 C99
6 3 3 KKK.DJ...CDJHAACGMH..CGM.BB.LLEEE... L99 H4 C99
6 3 3 KKK.DJ...CDJHAACGMH..CGM.BBLL..EEE.. E99 H4 C99
6 3 3 KKK.DJ...CDJHAACGMH..CGM.BBLL...EEE. E98 H4 C99
6 3 3 KKK.DJ...CDJHAACGMH..CGM.BBLL....EEE E97 H4 C99
6 3 3 KKK.DJ...CDJ.AACG.H..CGMHBBLLMEEE... M1 H3 C99
6 3 3 KKK.DJ...CDJ.AACG.H..CG.HBBLLMEEE..M M0 H3 C99
6 3 3 KKK.DJ...CDJ.AACGMH..CGMHBB.LLEEE... L99 H3 C99
6 3 3 KKK.DJ...CDJ.AACGMH..CGMHBBLL..EEE.. E99 H3 C99
6 3 3 KKK.DJ...CDJ.AACGMH..CGMHBBLL...EEE. E98 H3 C99
6 3 3 KKK.DJ...CDJ.AACGMH..CGMHBBLL....EEE E97 H3 C99
6 3 3 KKK.D.H..CDJHAACGJ...CGM.BBLLMEEE... J4 M1 C99
6 3 3 KKK.DJH..CDJHAACG....CGMBB.LLMEEE... B99 M1 C99
6 3 3 KKK.DJH..CDJHAACG....CGM.BBLLM.EEE.. E99 M1 C99
6 3 3 KKK.DJH..CDJHAACG....CGM.BBLLM..EEE. E98 M1 C99
6 3 3 KKK.DJH..CDJHAACG....CGM.BBLLM...EEE E97 M1 C99
6 3 3 KKK.D.H..CDJHAACGJ...CG..BBLLMEEE..M J4 M0 C99
6 3 3 KKK.D.H..CD.HAACGJ...CGJ.BBLLMEEE..M J3 M0 C99
6 3 3 KKK.DJH..CDJHAACG....CG.BB.LLMEEE..M B99 M0 C99
6 3 3 KKK.DJH..CDJHAACG....CG..BBLLM.EEE.M E99 M0 C99
6 3 3 KKK.DJH..CDJHAACG....CG..BBLLM..EEEM E98 M0 C99
6 3 3 KKK.DJH..CDJHAACGM...CGMBBLL..EEE... L99 B99 C99
6 3 3 KKK.DJH..CDJHAACGM...CGMBB..LLEEE... L99 B99 C99
6 3 3 KKK.DJH..CDJHAACGM...CGMBB.LL..EEE.. E99 B99 C99
6 3 3 KKK.DJH..CDJHAACGM...CGMBB.LL...EEE. E98 B99 C99
6 3 3 KKK.DJH..CDJHAACGM...CGMBB.LL....EEE E97 B99 C99
6 3 3 KKK.DJH..CDJHAACGM...CGM..BBLLEEE... B99 L99 C99
6 3 3 KKK.DJH..CDJHAACGM...CGM.BB.LL.EEE.. E99 L99 C99
6 3 3 KKK.DJH..CDJHAACGM...CGM.BB.LL..EEE. E98 L99 C99
6 3 3 KKK.DJH..CDJHAACGM...CGM.BB.LL...EEE E97 L99 C99
6 3 3 KKK.DJ...CDJ.AACGM...CGMHBBLL.HEEE.. H2 E99 C99
6 3 3 KKK.DJ...CDJ.AACGM...CGMHBBLL.H.EEE. H2 E98 C99
6 3 3 KKK.DJ...CDJ.AACGM...CGMHBBLL.H..EEE H2 E97 C99
6 3 3 KKKCD....CDJHAACGJH...GM.BBLLMEEE... J4 M1 H4
6 3 3 KKKCDJ...CDJHAACG.H...GMBB.LLMEEE... B99 M1 H4
6 3 3 KKKCDJ...CDJHAACG.H...GM.BBLLM.EEE.. E99 M1 H4
6 3 3 KKKCDJ...CDJHAACG.H...GM.BBLLM..EEE. E98 M1 H4
6 3 3 KKKCDJ...CDJHAACG.H...GM.BBLLM...EEE E97 M1 H4
6 3 3 KKKCD....CDJHAACGJH...G..BBLLMEEE..M J4 M0 H4
