4 0 4 .MMM.K..IIIKAAFGGH..FD.HLLLD...BBB..
4 0 4 MMM..K..IIIKAAFGGH..FD.HLLLD...BBB.. M99
4 0 4 ..MMMK..IIIKAAFGGH..FD.HLLLD...BBB.. M99
4 0 4 .MMM.K.III.KAAFGGH..FD.HLLLD...BBB.. I99
4 0 4 .MMM.KIII..KAAFGGH..FD.HLLLD...BBB.. I98
4 0 4 .MMM.K..IIIKAAFGG...FD.HLLLD.H.BBB.. H99
4 0 4 .MMM.K..IIIKAAFGG...FD..LLLD.H.BBB.H H98
4 0 4 .MMM.K..IIIKAAFGGH..FD.HLLLD..BBB... B99
4 0 4 .MMM.K..IIIKAAFGGH..FD.HLLLD....BBB. B99
4 0 4 .MMM.K..IIIKAAFGGH..FD.HLLLD.....BBB B98
4 0 4 ..MMMK..IIIKAAFGGH..FD.HLLLD...BBB.. M97 M99
4 0 4 MMM..K.III.KAAFGGH..FD.HLLLD...BBB.. I99 M99
4 0 4 MMM..KIII..KAAFGGH..FD.HLLLD...BBB.. I98 M99
4 0 4 MMM..K..IIIKAAFGG...FD.HLLLD.H.BBB.. H99 M99
4 0 4 MMM..K..IIIKAAFGG...FD..LLLD.H.BBB.H H98 M99
4 0 4 MMM..K..IIIKAAFGGH..FD.HLLLD..BBB... B99 M99
4 0 4 MMM..K..IIIKAAFGGH..FD.HLLLD....BBB. B99 M99
4 0 4 MMM..K..IIIKAAFGGH..FD.HLLLD.....BBB B98 M99
4 0 4 MMM..K..IIIKAAFGGH..FD.HLLLD...BBB.. M97 M99
4 0 4 ..MMMK.III.KAAFGGH..FD.HLLLD...BBB.. I99 M99
4 0 4 ..MMMKIII..KAAFGGH..FD.HLLLD...BBB.. I98 M99
4 0 4 ..MMMK..IIIKAAFGG...FD.HLLLD.H.BBB.. H99 M99
4 0 4 ..MMMK..IIIKAAFGG...FD..LLLD.H.BBB.H H98 M99
4 0 4 ..MMMK..IIIKAAFGGH..FD.HLLLD..BBB... B99 M99
4 0 4 ..MMMK..IIIKAAFGGH..FD.HLLLD....BBB. B99 M99
4 0 4 ..MMMK..IIIKAAFGGH..FD.HLLLD.....BBB B98 M99
4 0 4 .MMM.KIII..KAAFGGH..FD.HLLLD...BBB.. I98 I99
4 0 4 .MMM.K.III.KAAFGG...FD.HLLLD.H.BBB.. H99 I99
4 0 4 .MMM.K.III.KAAFGG...FD..LLLD.H.BBB.H H98 I99
4 0 4 .MMM.K.III.KAAFGGH..FD.HLLLD..BBB... B99 I99
4 0 4 .MMM.K.III.KAAFGGH..FD.HLLLD....BBB. B99 I99
4 0 4 .MMM.K.III.KAAFGGH..FD.HLLLD.....BBB B98 I99
4 0 4 .MMM.K.III.KAAFGGH..FD.HLLLD...BBB.. I97 I98
4 0 4 .MMM.KIII..KAAFGG...FD.HLLLD.H.BBB.. H99 I98
4 0 4 .MMM.KIII..KAAFGG...FD..LLLD.H.BBB.H H98 I98
4 0 4 .MMM.KIII..KAAFGGH..FD.HLLLD..BBB... B99 I98
4 0 4 .MMM.KIII..KAAFGGH..FD.HLLLD....BBB. B99 I98
4 0 4 .MMM.KIII..KAAFGGH..FD.HLLLD.....BBB B98 I98
4 0 4 .MMM....IIIKAAFGGK..FD.HLLLD.H.BBB.. K99 H99
4 0 4 .MMM.K..IIIKAAF.....FD.HLLLD.H.BBB.. G99 H99
4 0 4 .MMM.K..IIIKAAFGG...FD..LLLD.H.BBB.H H98 H99
4 0 4 .MMM.K..IIIKAAFGG...FD.HLLLD.HBBB... B99 H99
4 0 4 .MMM.K..IIIKAAFGG...FD.HLLLD.H..BBB. B99 H99
4 0 4 .MMM.K..IIIKAAFGG...FD.HLLLD.H...BBB B98 H99
4 0 4 .MMM....IIIKAAFGGK..FD..LLLD.H.BBB.H K99 H98
4 0 4 .MMM....III.AAFGGK..FD.KLLLD.H.BBB.H K98 H98
4 0 4 .MMM.K..IIIKAAF.....FD..LLLD.H.BBB.H G99 H98
4 0 4 .MMM.K..IIIKAAFGG...FD.HLLLD.H.BBB.. H97 H98
4 0 4 .MMM.K..IIIKAAFGG...FD..LLLD.HBBB..H B99 H98
4 0 4 .MMM.K..IIIKAAFGG...FD..LLLD.H..BBBH B99 H98
4 0 4 .MMM.K..IIIKAAFGGH..F..HLLLD..BBBD.. D99 B99
4 0 4 .MMM.K..IIIKAAFGGH..FD.HLLLD....BBB. B97 B99
4 0 4 .MMM.K..IIIKAAFGGH..FD.HLLLD.....BBB B96 B99
4 0 4 .MMM.K..IIIKAAFGGH..FD.HLLLD..BBB... B97 B99
4 0 4 MMM..K.III.KAAFGG...FD.HLLLD.H.BBB.. H99 I99 M99
4 0 4 MMM..K.III.KAAFGG...FD..LLLD.H.BBB.H H98 I99 M99
4 0 4 MMM..K.III.KAAFGGH..FD.HLLLD..BBB... B99 I99 M99
4 0 4 MMM..K.III.KAAFGGH..FD.HLLLD....BBB. B99 I99 M99
4 0 4 MMM..K.III.KAAFGGH..FD.HLLLD.....BBB B98 I99 M99
4 0 4 MMM..KIII..KAAFGG...FD.HLLLD.H.BBB.. H99 I98 M99
4 0 4 MMM..KIII..KAAFGG...FD..LLLD.H.BBB.H H98 I98 M99
4 0 4 MMM..KIII..KAAFGGH..FD.HLLLD..BBB... B99 I98 M99
4 0 4 MMM..KIII..KAAFGGH..FD.HLLLD....BBB. B99 I98 M99
4 0 4 MMM..KIII..KAAFGGH..FD.HLLLD.....BBB B98 I98 M99
4 0 4 MMM.....IIIKAAFGGK..FD.HLLLD.H.BBB.. K99 H99 M99
4 0 4 MMM..K..IIIKAAF.....FD.HLLLD.H.BBB.. G99 H99 M99
4 0 4 MMM..K..IIIKAAFGG...FD.HLLLD.HBBB... B99 H99 M99
4 0 4 MMM..K..IIIKAAFGG...FD.HLLLD.H..BBB. B99 H99 M99
4 0 4 MMM..K..IIIKAAFGG...FD.HLLLD.H...BBB B98 H99 M99
4 0 4 MMM.....IIIKAAFGGK..FD..LLLD.H.BBB.H K99 H98 M99
4 0 4 MMM.....III.AAFGGK..FD.KLLLD.H.BBB.H K98 H98 M99
4 0 4 MMM..K..IIIKAAF.....FD..LLLD.H.BBB.H G99 H98 M99
4 0 4 MMM..K..IIIKAAFGG...FD..LLLD.HBBB..H B99 H98 M99
4 0 4 MMM..K..IIIKAAFGG...FD..LLLD.H..BBBH B99 H98 M99
4 0 4 MMM..K..IIIKAAFGGH..F..HLLLD..BBBD.. D99 B99 M99
4 0 4 ..MMMK.III.KAAFGG...FD.HLLLD.H.BBB.. H99 I99 M99
4 0 4 ..MMMK.III.KAAFGG...FD..LLLD.H.BBB.H H98 I99 M99
4 0 4 ..MMMK.III.KAAFGGH..FD.HLLLD..BBB... B99 I99 M99
4 0 4 ..MMMK.III.KAAFGGH..FD.HLLLD....BBB. B99 I99 M99
4 0 4 ..MMMK.III.KAAFGGH..FD.HLLLD.....BBB B98 I99 M99
4 0 4 ..MMMKIII..KAAFGG...FD.HLLLD.H.BBB.. H99 I98 M99
4 0 4 ..MMMKIII..KAAFGG...FD..LLLD.H.BBB.H H98 I98 M99
4 0 4 ..MMMKIII..KAAFGGH..FD.HLLLD..BBB... B99 I98 M99
4 0 4 ..MMMKIII..KAAFGGH..FD.HLLLD....BBB. B99 I98 M99
4 0 4 ..MMMKIII..KAAFGGH..FD.HLLLD.....BBB B98 I98 M99
4 0 4 ..MMM...IIIKAAFGGK..FD.HLLLD.H.BBB.. K99 H99 M99
4 0 4 ..MMMK..IIIKAAF.....FD.HLLLD.H.BBB.. G99 H99 M99
4 0 4 ..MMMK..IIIKAAFGG...FD.HLLLD.HBBB... B99 H99 M99
4 0 4 ..MMMK..IIIKAAFGG...FD.HLLLD.H..BBB. B99 H99 M99
4 0 4 ..MMMK..IIIKAAFGG...FD.HLLLD.H...BBB B98 H99 M99
4 0 4 ..MMM...IIIKAAFGGK..FD..LLLD.H.BBB.H K99 H98 M99
4 0 4 ..MMM...III.AAFGGK..FD.KLLLD.H.BBB.H K98 H98 M99
4 0 4 ..MMMK..IIIKAAF.....FD..LLLD.H.BBB.H G99 H98 M99
4 0 4 ..MMMK..IIIKAAFGG...FD..LLLD.HBBB..H B99 H98 M99
4 0 4 ..MMMK..IIIKAAFGG...FD..LLLD.H..BBBH B99 H98 M99
4 0 4 ..MMMK..IIIKAAFGGH..F..HLLLD..BBBD.. D99 B99 M99
4 0 4 .MMM...III.KAAFGGK..FD.HLLLD.H.BBB.. K99 H99 I99
4 0 4 .MMM.K.III.KAAF.....FD.HLLLD.H.BBB.. G99 H99 I99
4 0 4 .MMM.K.III.KAAFGG...FD.HLLLD.HBBB... B99 H99 I99
4 0 4 .MMM.K.III.KAAFGG...FD.HLLLD.H..BBB. B99 H99 I99
4 0 4 .MMM.K.III.KAAFGG...FD.HLLLD.H...BBB B98 H99 I99
4 0 4 .MMM...III.KAAFGGK..FD..LLLD.H.BBB.H K99 H98 I99
4 0 4 .MMM...III..AAFGGK..FD.KLLLD.H.BBB.H K98 H98 I99
4 0 4 .MMM.K.III.KAAF.....FD..LLLD.H.BBB.H G99 H98 I99
