0 0 0 B.FECMB.FECMBAAECDKJJJ.DKII...LL....
1 1 0 B.FE.MB.FECMBAAECDKJJJCDKII...LL.... C99
1 1 0 B.FE.MB.FE.MBAAECDKJJJCDKII.C.LL.... C98
1 1 0 B.FE.MB.FE.MBAAE.DKJJJCDKII.C.LL..C. C97
1 1 0 B.FECMB.FECMBAAEC.KJJJ.DKII..DLL.... D99
1 1 0 B.FECMB.FECMBAAEC.KJJJ..KII..DLL...D D98
1 1 0 B.FECMB.FECMBAAECDK.JJJDKII...LL.... J99
1 1 0 B.FECMB.FECMBAAECDKJJJ.DK.II..LL.... I99
1 1 0 B.FECMB.FECMBAAECDKJJJ.DK..II.LL.... I98
1 1 0 B.FECMB.FECMBAAECDKJJJ.DK...IILL.... I97
1 1 0 B.FECMB.FECMBAAECDKJJJ.DKII....LL... L99
1 1 0 B.FECMB.FECMBAAECDKJJJ.DKII.....LL.. L98
1 1 0 B.FECMB.FECMBAAECDKJJJ.DKII......LL. L97
1 1 0 B.FECMB.FECMBAAECDKJJJ.DKII.......LL L96
2 2 0 B.FECMB.FECMBAAECDKJJJ.DKII...LL.... C98 C99
2 2 0 B.FE.MB.FECMBAAEC.KJJJCDKII..DLL.... D99 C99
2 2 0 B.FE.MB.FECMBAAEC.KJJJC.KII..DLL...D D98 C99
2 2 0 B.FE.MB.FECMBAAECDKJJJCDK.II..LL.... I99 C99
2 2 0 B.FE.MB.FECMBAAECDKJJJCDK..II.LL.... I98 C99
2 2 0 B.FE.MB.FECMBAAECDKJJJCDK...IILL.... I97 C99
2 2 0 B.FE.MB.FECMBAAECDKJJJCDKII....LL... L99 C99
2 2 0 B.FE.MB.FECMBAAECDKJJJCDKII.....LL.. L98 C99
2 2 0 B.FE.MB.FECMBAAECDKJJJCDKII......LL. L97 C99
2 2 0 B.FE.MB.FECMBAAECDKJJJCDKII.......LL L96 C99
2 2 0 B.FE.MB.FE.MBAAEC.KJJJCDKII.CDLL.... D99 C98
2 2 0 B.FE.MB.FE.MBAAEC.KJJJC.KII.CDLL...D D98 C98
2 2 0 B.FE.MB.FE.MBAAECDKJJJCDK.IIC.LL.... I99 C98
2 2 0 B.FE.MB.FE.MBAAECDKJJJCDKII.C..LL... L99 C98
2 2 0 B.FE.MB.FE.MBAAECDKJJJCDKII.C...LL.. L98 C98
2 2 0 B.FE.MB.FE.MBAAECDKJJJCDKII.C....LL. L97 C98
2 2 0 B.FE.MB.FE.MBAAECDKJJJCDKII.C.....LL L96 C98
2 2 0 B.FE.MB.FE.MBAAE..KJJJCDKII.CDLL..C. D99 C97
2 2 0 B.FE.MB.FE.MBAAE..KJJJC.KII.CDLL..CD D98 C97
2 2 0 B.FE.MB.FE.MBAAE.DKJJJCDK.IIC.LL..C. I99 C97
2 2 0 B.FE.MB.FE.MBAAE.DKJJJCDKII.C..LL.C. L99 C97
2 2 0 B.FE.MB.FE.MBAAE.DKJJJCDKII.C...LLC. L98 C97
2 2 0 B.FEC.B.FECMBAAECMKJJJ.DKII..DLL.... M2 D99
2 2 0 B.FECMB.FECMBAAEC.K.JJJDKII..DLL.... J99 D99
2 2 0 B.FECMB.FECMBAAEC.KJJJ.DK.II.DLL.... I99 D99
2 2 0 B.FECMB.FECMBAAEC.KJJJ.DK..IIDLL.... I98 D99
2 2 0 B.FECMB.FECMBAAEC.KJJJ.DKII..D.LL... L99 D99
2 2 0 B.FECMB.FECMBAAEC.KJJJ.DKII..D..LL.. L98 D99
2 2 0 B.FECMB.FECMBAAEC.KJJJ.DKII..D...LL. L97 D99
2 2 0 B.FECMB.FECMBAAEC.KJJJ.DKII..D....LL L96 D99
2 2 0 B.FEC.B.FECMBAAECMKJJJ..KII..DLL...D M2 D98
2 2 0 B.FEC.B.FEC.BAAECMKJJJ.MKII..DLL...D M1 D98
2 2 0 B.FECMB.FECMBAAEC.K.JJJ.KII..DLL...D J99 D98
2 2 0 B.FECMB.FECMBAAEC.K..JJJKII..DLL...D J98 D98
2 2 0 B.FECMB.FECMBAAEC.KJJJ..K.II.DLL...D I99 D98
2 2 0 B.FECMB.FECMBAAEC.KJJJ..K..IIDLL...D I98 D98
2 2 0 B.FECMB.FECMBAAEC.KJJJ..KII..D.LL..D L99 D98
2 2 0 B.FECMB.FECMBAAEC.KJJJ..KII..D..LL.D L98 D98
2 2 0 B.FECMB.FECMBAAEC.KJJJ..KII..D...LLD L97 D98
2 2 0 B.FECMB.FECMBAAECDK.JJJDK.II..LL.... I99 J99
2 2 0 B.FECMB.FECMBAAECDK.JJJDK..II.LL.... I98 J99
2 2 0 B.FECMB.FECMBAAECDK.JJJDK...IILL.... I97 J99
2 2 0 B.FECMB.FECMBAAECDK.JJJDKII....LL... L99 J99
2 2 0 B.FECMB.FECMBAAECDK.JJJDKII.....LL.. L98 J99
2 2 0 B.FECMB.FECMBAAECDK.JJJDKII......LL. L97 J99
2 2 0 B.FECMB.FECMBAAECDK.JJJDKII.......LL L96 J99
2 2 0 B.FECMB.FECMBAAECDKJJJ.DK.II...LL... L99 I99
2 2 0 B.FECMB.FECMBAAECDKJJJ.DK.II....LL.. L98 I99
2 2 0 B.FECMB.FECMBAAECDKJJJ.DK.II.....LL. L97 I99
2 2 0 B.FECMB.FECMBAAECDKJJJ.DK.II......LL L96 I99
2 2 0 B.FECMB.FECMBAAECDKJJJ.DK..II..LL... L99 I98
2 2 0 B.FECMB.FECMBAAECDKJJJ.DK..II...LL.. L98 I98
2 2 0 B.FECMB.FECMBAAECDKJJJ.DK..II....LL. L97 I98
2 2 0 B.FECMB.FECMBAAECDKJJJ.DK..II.....LL L96 I98
2 2 0 B.FECMB.FECMBAAECDKJJJ.DK...II.LL... L99 I97
2 2 0 B.FECMB.FECMBAAECDKJJJ.DK...II..LL.. L98 I97
2 2 0 B.FECMB.FECMBAAECDKJJJ.DK...II...LL. L97 I97
2 2 0 B.FECMB.FECMBAAECDKJJJ.DK...II....LL L96 I97
2 2 0 B.FECMB.FECMBAAECD.JJJ.DKII...KLL... K99 L99
2 2 0 B.FECMB.FECMBAAECD.JJJ.DKII...K.LL.. K99 L98
2 2 0 B.FECMB.FECMBAAECD.JJJ.DKII...K..LL. K99 L97
2 2 0 B.FECMB.FECMBAAECD.JJJ.DKII...K...LL K99 L96
3 3 0 B.FE..B.FECMBAAECMKJJJCDKII..DLL.... M2 D99 C99
3 3 0 B.FE.MB.FECMBAAEC.KJJJCDK.II.DLL.... I99 D99 C99
3 3 0 B.FE.MB.FECMBAAEC.KJJJCDK..IIDLL.... I98 D99 C99
3 3 0 B.FE.MB.FECMBAAEC.KJJJCDKII..D.LL... L99 D99 C99
3 3 0 B.FE.MB.FECMBAAEC.KJJJCDKII..D..LL.. L98 D99 C99
3 3 0 B.FE.MB.FECMBAAEC.KJJJCDKII..D...LL. L97 D99 C99
3 3 0 B.FE.MB.FECMBAAEC.KJJJCDKII..D....LL L96 D99 C99
3 3 0 B.FE..B.FECMBAAECMKJJJC.KII..DLL...D M2 D98 C99
3 3 0 B.FE..B.FEC.BAAECMKJJJCMKII..DLL...D M1 D98 C99
3 3 0 B.FE.MB.FECMBAAEC.KJJJC.K.II.DLL...D I99 D98 C99
3 3 0 B.FE.MB.FECMBAAEC.KJJJC.K..IIDLL...D I98 D98 C99
3 3 0 B.FE.MB.FECMBAAEC.KJJJC.KII..D.LL..D L99 D98 C99
3 3 0 B.FE.MB.FECMBAAEC.KJJJC.KII..D..LL.D L98 D98 C99
3 3 0 B.FE.MB.FECMBAAEC.KJJJC.KII..D...LLD L97 D98 C99
3 3 0 B.FE.MB.FECMBAAECDKJJJCDK.II...LL... L99 I99 C99
3 3 0 B.FE.MB.FECMBAAECDKJJJCDK.II....LL.. L98 I99 C99
3 3 0 B.FE.MB.FECMBAAECDKJJJCDK.II.....LL. L97 I99 C99
3 3 0 B.FE.MB.FECMBAAECDKJJJCDK.II......LL L96 I99 C99
3 3 0 B.FE.MB.FECMBAAECDKJJJCDK..II..LL... L99 I98 C99
3 3 0 B.FE.MB.FECMBAAECDKJJJCDK..II...LL.. L98 I98 C99
3 3 0 B.FE.MB.FECMBAAECDKJJJCDK..II....LL. L97 I98 C99
3 3 0 B.FE.MB.FECMBAAECDKJJJCDK..II.....LL L96 I98 C99
3 3 0 B.FE.MB.FECMBAAECDKJJJCDK...II.LL... L99 I97 C99
3 3 0 B.FE.MB.FECMBAAECDKJJJCDK...II..LL.. L98 I97 C99
3 3 0 B.FE.MB.FECMBAAECDKJJJCDK...II...LL. L97 I97 C99
3 3 0 B.FE.MB.FECMBAAECDKJJJCDK...II....LL L96 I97 C99
3 3 0 B.FE.MB.FECMBAAECD.JJJCDKII...KLL... K99 L99 C99
3 3 0 B.FE.MB.FECMBAAECD.JJJCDKII...K.LL.. K99 L98 C99
3 3 0 B.FE.MB.FECMBAAECD.JJJCDKII...K..LL. K99 L97 C99
3 3 0 B.FE.MB.FECMBAAECD.JJJCDKII...K...LL K99 L96 C99
3 3 0 B.FE..B.FE.MBAAECMKJJJCDKII.CDLL.... M2 D99 C98
3 3 0 B.FE.MB.FE.MBAAEC.KJJJCDK.IICDLL.... I99 D99 C98
3 3 0 B.FE.MB.FE.MBAAEC.KJJJCDKII.CD.LL... L99 D99 C98
3 3 0 B.FE.MB.FE.MBAAEC.KJJJCDKII.CD..LL.. L98 D99 C98
3 3 0 B.FE.MB.FE.MBAAEC.KJJJCDKII.CD...LL. L97 D99 C98
3 3 0 B.FE.MB.FE.MBAAEC.KJJJCDKII.CD....LL L96 D99 C98
3 3 0 B.FE..B.FE.MBAAECMKJJJC.KII.CDLL...D M2 D98 C98
3 3 0 B.FE..B.FE..BAAECMKJJJCMKII.CDLL...D M1 D98 C98
3 3 0 B.FE.MB.FE.MBAAEC.KJJJC.K.IICDLL...D I99 D98 C98
3 3 0 B.FE.MB.FE.MBAAEC.KJJJC.KII.CD.LL..D L99 D98 C98
3 3 0 B.FE.MB.FE.MBAAEC.KJJJC.KII.CD..LL.D L98 D98 C98
3 3 0 B.FE.MB.FE.MBAAEC.KJJJC.KII.CD...LLD L97 D98 C98
3 3 0 B.FE.MB.FE.MBAAECDKJJJCDK.IIC..LL... L99 I99 C98
3 3 0 B.FE.MB.FE.MBAAECDKJJJCDK.IIC...LL.. L98 I99 C98
3 3 0 B.FE.MB.FE.MBAAECDKJJJCDK.IIC....LL. L97 I99 C98
3 3 0 B.FE.MB.FE.MBAAECDKJJJCDK.IIC.....LL L96 I99 C98
3 3 0 B.FE.MB.FE.MBAAECD.JJJCDKII.C.KLL... K99 L99 C98
3 3 0 B.FE.MB.FE.MBAAECD.JJJCDKII.C.K.LL.. K99 L98 C98
3 3 0 B.FE.MB.FE.MBAAECD.JJJCDKII.C.K..LL. K99 L97 C98
3 3 0 B.FE.MB.FE.MBAAECD.JJJCDKII.C.K...LL K99 L96 C98
3 3 0 B.FE..B.FE.MBAAE.MKJJJCDKII.CDLL..C. M2 D99 C97
3 3 0 B.FE.MB.FE.MBAAE..KJJJCDK.IICDLL..C. I99 D99 C97
3 3 0 B.FE.MB.FE.MBAAE..KJJJCDKII.CD.LL.C. L99 D99 C97
3 3 0 B.FE.MB.FE.MBAAE..KJJJCDKII.CD..LLC. L98 D99 C97
3 3 0 B.FE..B.FE.MBAAE.MKJJJC.KII.CDLL..CD M2 D98 C97
3 3 0 B.FE..B.FE..BAAE.MKJJJCMKII.CDLL..CD M1 D98 C97
3 3 0 B.FE.MB.FE.MBAAE..KJJJC.K.IICDLL..CD I99 D98 C97
3 3 0 B.FE.MB.FE.MBAAE..KJJJC.KII.CD.LL.CD L99 D98 C97
3 3 0 B.FE.MB.FE.MBAAE..KJJJC.KII.CD..LLCD L98 D98 C97
3 3 0 B.FE.MB.FE.MBAAE.DKJJJCDK.IIC..LL.C. L99 I99 C97
3 3 0 B.FE.MB.FE.MBAAE.DKJJJCDK.IIC...LLC. L98 I99 C97
3 3 0 B.FE.MB.FE.MBAAE.D.JJJCDKII.C.KLL.C. K99 L99 C97
3 3 0 B.FE.MB.FE.MBAAE.D.JJJCDKII.C.K.LLC. K99 L98 C97
3 3 0 B.FEC.B.FECMBAAECMK.JJJDKII..DLL.... J99 M2 D99
3 3 0 B.FEC.B.FECMBAAECMKJJJ.DK.II.DLL.... I99 M2 D99
3 3 0 B.FEC.B.FECMBAAECMKJJJ.DK..IIDLL.... I98 M2 D99
3 3 0 B.FEC.B.FECMBAAECMKJJJ.DKII..D.LL... L99 M2 D99
