0 0 0 BB..KCLL..KCFHAAKJFHD..JFHD..J......
1 1 0 .BB.KCLL..KCFHAAKJFHD..JFHD..J...... B99
1 1 0 ..BBKCLL..KCFHAAKJFHD..JFHD..J...... B98
1 1 0 BB...CLL..KCFHAAKJFHD.KJFHD..J...... K99
1 1 0 BB...CLL...CFHAAKJFHD.KJFHD.KJ...... K98
1 1 0 BB...CLL...CFHAA.JFHD.KJFHD.KJ....K. K97
1 1 0 BB..KC.LL.KCFHAAKJFHD..JFHD..J...... L99
1 1 0 BB..KC..LLKCFHAAKJFHD..JFHD..J...... L98
1 1 0 BB..KCLL..KC.HAAKJFHD..JFHD..JF..... F99
1 1 0 BB..KCLL..KCF.AAKJFHD..JFHD..J.H.... H99
1 1 0 BB..KCLL..KCFHAAK.FHD..JFHD..J.....J J1
1 1 0 BB..KCLL..KCFHAAKJFH...JFHD..J..D... D99
2 2 0 BB..KCLL..KCFHAAKJFHD..JFHD..J...... B98 B99
2 2 0 .BB..CLL..KCFHAAKJFHD.KJFHD..J...... K99 B99
2 2 0 .BB..CLL...CFHAAKJFHD.KJFHD.KJ...... K98 B99
2 2 0 .BB..CLL...CFHAA.JFHD.KJFHD.KJ....K. K97 B99
2 2 0 .BB.KC.LL.KCFHAAKJFHD..JFHD..J...... L99 B99
2 2 0 .BB.KC..LLKCFHAAKJFHD..JFHD..J...... L98 B99
2 2 0 .BB.KCLL..KC.HAAKJFHD..JFHD..JF..... F99 B99
2 2 0 .BB.KCLL..KCF.AAKJFHD..JFHD..J.H.... H99 B99
2 2 0 .BB.KCLL..KCFHAAK.FHD..JFHD..J.....J J1 B99
2 2 0 .BB.KCLL..KCFHAAKJFH...JFHD..J..D... D99 B99
2 2 0 ..BB.CLL..KCFHAAKJFHD.KJFHD..J...... K99 B98
2 2 0 ..BB.CLL...CFHAAKJFHD.KJFHD.KJ...... K98 B98
2 2 0 ..BB.CLL...CFHAA.JFHD.KJFHD.KJ....K. K97 B98
2 2 0 ..BBKC.LL.KCFHAAKJFHD..JFHD..J...... L99 B98
2 2 0 ..BBKC..LLKCFHAAKJFHD..JFHD..J...... L98 B98
2 2 0 ..BBKCLL..KC.HAAKJFHD..JFHD..JF..... F99 B98
2 2 0 ..BBKCLL..KCF.AAKJFHD..JFHD..J.H.... H99 B98
2 2 0 ..BBKCLL..KCFHAAK.FHD..JFHD..J.....J J1 B98
2 2 0 ..BBKCLL..KCFHAAKJFH...JFHD..J..D... D99 B98
2 2 0 ...BBCLL..KCFHAAKJFHD.KJFHD..J...... B97 K99
2 2 0 BB...C.LL.KCFHAAKJFHD.KJFHD..J...... L99 K99
2 2 0 BB...C..LLKCFHAAKJFHD.KJFHD..J...... L98 K99
2 2 0 BB...CLL..KC.HAAKJFHD.KJFHD..JF..... F99 K99
2 2 0 BB...CLL..KCF.AAKJFHD.KJFHD..J.H.... H99 K99
2 2 0 BB...CLL..KCFHAAK.FHD.KJFHD..J.....J J1 K99
2 2 0 BB...CLL..KCFHAAKJFH..KJFHD..J..D... D99 K99
2 2 0 ...BBCLL...CFHAAKJFHD.KJFHD.KJ...... B97 K98
2 2 0 BB...C.LL..CFHAAKJFHD.KJFHD.KJ...... L99 K98
2 2 0 BB...C..LL.CFHAAKJFHD.KJFHD.KJ...... L98 K98
2 2 0 BB...C...LLCFHAAKJFHD.KJFHD.KJ...... L97 K98
2 2 0 BB...CLL...C.HAAKJFHD.KJFHD.KJF..... F99 K98
2 2 0 BB...CLL...CF.AAKJFHD.KJFHD.KJ.H.... H99 K98
2 2 0 BB...CLL...CFHAAK.FHD.KJFHD.KJ.....J J1 K98
2 2 0 BB...CLL...CFHAAKJFH..KJFHD.KJ..D... D99 K98
2 2 0 ...BBCLL...CFHAA.JFHD.KJFHD.KJ....K. B97 K97
2 2 0 BB...C.LL..CFHAA.JFHD.KJFHD.KJ....K. L99 K97
2 2 0 BB...C..LL.CFHAA.JFHD.KJFHD.KJ....K. L98 K97
2 2 0 BB...C...LLCFHAA.JFHD.KJFHD.KJ....K. L97 K97
2 2 0 BB...CLL...C.HAA.JFHD.KJFHD.KJF...K. F99 K97
2 2 0 BB...CLL...CF.AA.JFHD.KJFHD.KJ.H..K. H99 K97
2 2 0 BB...CLL...CFH.AAJFHD.KJFHD.KJ....K. A99 K97
2 2 0 BB...CLL...CFHAA..FHD.KJFHD.KJ....KJ J1 K97
2 2 0 BB...CLL...CFHAA.JFH..KJFHD.KJ..D.K. D99 K97
2 2 0 BB..KCFLL.KCFHAAKJFHD..J.HD..J...... F99 L99
2 2 0 BB..KC.LL.KC.HAAKJFHD..JFHD..JF..... F99 L99
2 2 0 BB..KC.LL.KCF.AAKJFHD..JFHD..J.H.... H99 L99
2 2 0 BB..KC.LL.KCFHAAK.FHD..JFHD..J.....J J1 L99
2 2 0 BB..KC.LL.KCFHAAKJFH...JFHD..J..D... D99 L99
2 2 0 BB..KCF.LLKCFHAAKJFHD..J.HD..J...... F99 L98
2 2 0 BB..KC..LLKC.HAAKJFHD..JFHD..JF..... F99 L98
2 2 0 BB..KC.HLLKCFHAAKJFHD..JF.D..J...... H99 L98
2 2 0 BB..KC..LLKCF.AAKJFHD..JFHD..J.H.... H99 L98
2 2 0 BB..KC..LLKCFHAAK.FHD..JFHD..J.....J J1 L98
2 2 0 BB..KC..LLKCFHAAKJFH...JFHD..J..D... D99 L98
2 2 0 BB..KCLL..KC..AAKJFHD..JFHD..JFH.... H99 F99
2 2 0 BB..KCLL..KC.HAAK.FHD..JFHD..JF....J J1 F99
2 2 0 BB..KCLL..KC.HAAKJFH...JFHD..JF.D... D99 F99
2 2 0 BB..KCLL..KCFAA.KJFHD..JFHD..J.H.... A99 H99
2 2 0 BB..KCLL..KCF.AAK.FHD..JFHD..J.H...J J1 H99
2 2 0 BB..KCLL..KCF.AAKJFH...JFHD..J.HD... D99 H99
2 2 0 BB..K.LL..KCFHAAKCFHD..JFHD..J.....J C99 J1
2 2 0 BB..KCLL..KCFHAAK.FH...JFHD..J..D..J D99 J1
3 3 0 .BB..C.LL.KCFHAAKJFHD.KJFHD..J...... L99 K99 B99
3 3 0 .BB..C..LLKCFHAAKJFHD.KJFHD..J...... L98 K99 B99
3 3 0 .BB..CLL..KC.HAAKJFHD.KJFHD..JF..... F99 K99 B99
3 3 0 .BB..CLL..KCF.AAKJFHD.KJFHD..J.H.... H99 K99 B99
3 3 0 .BB..CLL..KCFHAAK.FHD.KJFHD..J.....J J1 K99 B99
3 3 0 .BB..CLL..KCFHAAKJFH..KJFHD..J..D... D99 K99 B99
3 3 0 .BB..C.LL..CFHAAKJFHD.KJFHD.KJ...... L99 K98 B99
3 3 0 .BB..C..LL.CFHAAKJFHD.KJFHD.KJ...... L98 K98 B99
3 3 0 .BB..C...LLCFHAAKJFHD.KJFHD.KJ...... L97 K98 B99
3 3 0 .BB..CLL...C.HAAKJFHD.KJFHD.KJF..... F99 K98 B99
3 3 0 .BB..CLL...CF.AAKJFHD.KJFHD.KJ.H.... H99 K98 B99
3 3 0 .BB..CLL...CFHAAK.FHD.KJFHD.KJ.....J J1 K98 B99
3 3 0 .BB..CLL...CFHAAKJFH..KJFHD.KJ..D... D99 K98 B99
3 3 0 .BB..C.LL..CFHAA.JFHD.KJFHD.KJ....K. L99 K97 B99
3 3 0 .BB..C..LL.CFHAA.JFHD.KJFHD.KJ....K. L98 K97 B99
3 3 0 .BB..C...LLCFHAA.JFHD.KJFHD.KJ....K. L97 K97 B99
3 3 0 .BB..CLL...C.HAA.JFHD.KJFHD.KJF...K. F99 K97 B99
3 3 0 .BB..CLL...CF.AA.JFHD.KJFHD.KJ.H..K. H99 K97 B99
3 3 0 .BB..CLL...CFH.AAJFHD.KJFHD.KJ....K. A99 K97 B99
3 3 0 .BB..CLL...CFHAA..FHD.KJFHD.KJ....KJ J1 K97 B99
3 3 0 .BB..CLL...CFHAA.JFH..KJFHD.KJ..D.K. D99 K97 B99
3 3 0 .BB.KCFLL.KCFHAAKJFHD..J.HD..J...... F99 L99 B99
3 3 0 FBB.KCFLL.KCFHAAKJ.HD..J.HD..J...... F98 L99 B99
3 3 0 .BB.KC.LL.KC.HAAKJFHD..JFHD..JF..... F99 L99 B99
3 3 0 .BB.KC.LL.KCF.AAKJFHD..JFHD..J.H.... H99 L99 B99
3 3 0 .BB.KC.LL.KCFHAAK.FHD..JFHD..J.....J J1 L99 B99
3 3 0 .BB.KC.LL.KCFHAAKJFH...JFHD..J..D... D99 L99 B99
3 3 0 .BB.KCF.LLKCFHAAKJFHD..J.HD..J...... F99 L98 B99
3 3 0 FBB.KCF.LLKCFHAAKJ.HD..J.HD..J...... F98 L98 B99
3 3 0 .BB.KC..LLKC.HAAKJFHD..JFHD..JF..... F99 L98 B99
3 3 0 .BB.KC.HLLKCFHAAKJFHD..JF.D..J...... H99 L98 B99
3 3 0 .BB.KC..LLKCF.AAKJFHD..JFHD..J.H.... H99 L98 B99
3 3 0 .BB.KC..LLKCFHAAK.FHD..JFHD..J.....J J1 L98 B99
3 3 0 .BB.KC..LLKCFHAAKJFH...JFHD..J..D... D99 L98 B99
3 3 0 .BB.KCLL..KC..AAKJFHD..JFHD..JFH.... H99 F99 B99
3 3 0 .BB.KCLL..KC.HAAK.FHD..JFHD..JF....J J1 F99 B99
3 3 0 .BB.KCLL..KC.HAAKJFH...JFHD..JF.D... D99 F99 B99
3 3 0 .BB.KCLL..KCFAA.KJFHD..JFHD..J.H.... A99 H99 B99
3 3 0 .BB.KCLL..KCF.AAK.FHD..JFHD..J.H...J J1 H99 B99
3 3 0 .BB.KCLL..KCF.AAKJFH...JFHD..J.HD... D99 H99 B99
3 3 0 .BB.K.LL..KCFHAAKCFHD..JFHD..J.....J C99 J1 B99
3 3 0 .BB.KCLL..KCFHAAK.FH...JFHD..J..D..J D99 J1 B99
3 3 0 ..BB.C.LL.KCFHAAKJFHD.KJFHD..J...... L99 K99 B98
3 3 0 ..BB.C..LLKCFHAAKJFHD.KJFHD..J...... L98 K99 B98
3 3 0 ..BB.CLL..KC.HAAKJFHD.KJFHD..JF..... F99 K99 B98
3 3 0 ..BB.CLL..KCF.AAKJFHD.KJFHD..J.H.... H99 K99 B98
3 3 0 ..BB.CLL..KCFHAAK.FHD.KJFHD..J.....J J1 K99 B98
3 3 0 ..BB.CLL..KCFHAAKJFH..KJFHD..J..D... D99 K99 B98
3 3 0 ..BB.C.LL..CFHAAKJFHD.KJFHD.KJ...... L99 K98 B98
3 3 0 ..BB.C..LL.CFHAAKJFHD.KJFHD.KJ...... L98 K98 B98
3 3 0 ..BB.C...LLCFHAAKJFHD.KJFHD.KJ...... L97 K98 B98
3 3 0 ..BB.CLL...C.HAAKJFHD.KJFHD.KJF..... F99 K98 B98
3 3 0 ..BB.CLL...CF.AAKJFHD.KJFHD.KJ.H.... H99 K98 B98
3 3 0 ..BB.CLL...CFHAAK.FHD.KJFHD.KJ.....J J1 K98 B98
3 3 0 ..BB.CLL...CFHAAKJFH..KJFHD.KJ..D... D99 K98 B98
3 3 0 ..BB.C.LL..CFHAA.JFHD.KJFHD.KJ....K. L99 K97 B98
3 3 0 ..BB.C..LL.CFHAA.JFHD.KJFHD.KJ....K. L98 K97 B98
3 3 0 ..BB.C...LLCFHAA.JFHD.KJFHD.KJ....K. L97 K97 B98
3 3 0 ..BB.CLL...C.HAA.JFHD.KJFHD.KJF...K. F99 K97 B98
3 3 0 ..BB.CLL...CF.AA.JFHD.KJFHD.KJ.H..K. H99 K97 B98
3 3 0 ..BB.CLL...CFH.AAJFHD.KJFHD.KJ....K. A99 K97 B98
3 3 0 ..BB.CLL...CFHAA..FHD.KJFHD.KJ....KJ J1 K97 B98
3 3 0 ..BB.CLL...CFHAA.JFH..KJFHD.KJ..D.K. D99 K97 B98
3 3 0 ..BBKCFLL.KCFHAAKJFHD..J.HD..J...... F99 L99 B98
3 3 0 F.BBKCFLL.KCFHAAKJ.HD..J.HD..J...... F98 L99 B98
3 3 0 ..BBKC.LL.KC.HAAKJFHD..JFHD..JF..... F99 L99 B98
