0 0 0 GG.LIHBBBLIHFEAAKJFE..KJF.DDD.CCC...
1 1 0 .GGLIHBBBLIHFEAAKJFE..KJF.DDD.CCC... G99
1 1 0 GG.LIHBBBLIHF.AAKJFE..KJFEDDD.CCC... E99
1 1 0 GG.LIHBBBLIHFEAAK.FE..KJF.DDDJCCC... J99
1 1 0 GG.LIHBBBLIHFEAAK.FE..K.F.DDDJCCC..J J98
1 1 0 GG.LIHBBBLIHFEAAKJFE..KJFDDD..CCC... D99
1 1 0 GG.LIHBBBLIHFEAAKJFE..KJF..DDDCCC... D99
1 1 0 GG.LIHBBBLIHFEAAKJFE..KJF.DDD..CCC.. C99
1 1 0 GG.LIHBBBLIHFEAAKJFE..KJF.DDD...CCC. C98
1 1 0 GG.LIHBBBLIHFEAAKJFE..KJF.DDD....CCC C97
2 2 0 GG.LIHBBBLIHFEAAKJFE..KJF.DDD.CCC... G98 G99
2 2 0 .GGLIHBBBLIHF.AAKJFE..KJFEDDD.CCC... E99 G99
2 2 0 .GGLIHBBBLIHFEAAK.FE..KJF.DDDJCCC... J99 G99
2 2 0 .GGLIHBBBLIHFEAAK.FE..K.F.DDDJCCC..J J98 G99
2 2 0 .GGLIHBBBLIHFEAAKJFE..KJFDDD..CCC... D99 G99
2 2 0 .GGLIHBBBLIHFEAAKJFE..KJF..DDDCCC... D99 G99
2 2 0 .GGLIHBBBLIHFEAAKJFE..KJF.DDD..CCC.. C99 G99
2 2 0 .GGLIHBBBLIHFEAAKJFE..KJF.DDD...CCC. C98 G99
2 2 0 .GGLIHBBBLIHFEAAKJFE..KJF.DDD....CCC C97 G99
2 2 0 GG.LIHBBBLIHFAA.KJFE..KJFEDDD.CCC... A99 E99
2 2 0 GG.LIHBBBLIHF.AAK.FE..KJFEDDDJCCC... J99 E99
2 2 0 GG.LIHBBBLIHF.AAK.FE..K.FEDDDJCCC..J J98 E99
2 2 0 GG.LIHBBBLIHF.AAKJFE..KJFE.DDDCCC... D99 E99
2 2 0 GG.LIHBBBLIHF.AAKJFE..KJFEDDD..CCC.. C99 E99
2 2 0 GG.LIHBBBLIHF.AAKJFE..KJFEDDD...CCC. C98 E99
2 2 0 GG.LIHBBBLIHF.AAKJFE..KJFEDDD....CCC C97 E99
2 2 0 GG.LI.BBBLIHFEAAKHFE..KJF.DDDJCCC... H99 J99
2 2 0 GG.LIHBBBLIHFEAAK.FE..KJFDDD.JCCC... D99 J99
2 2 0 GG.LIHBBBLIHFEAAK.FE..KJF.DDDJ.CCC.. C99 J99
2 2 0 GG.LIHBBBLIHFEAAK.FE..KJF.DDDJ..CCC. C98 J99
2 2 0 GG.LIHBBBLIHFEAAK.FE..KJF.DDDJ...CCC C97 J99
2 2 0 GG.LI.BBBLIHFEAAKHFE..K.F.DDDJCCC..J H99 J98
2 2 0 GG.LI.BBBLI.FEAAKHFE..KHF.DDDJCCC..J H98 J98
2 2 0 GG.LIHBBBLIHFEAAK.FE..K.FDDD.JCCC..J D99 J98
2 2 0 GG.LIHBBBLIHFEAAK.FE..K.F.DDDJ.CCC.J C99 J98
2 2 0 GG.LIHBBBLIHFEAAK.FE..K.F.DDDJ..CCCJ C98 J98
2 2 0 GG.LIHBBBLIHFEAA.JFE..KJFDDDK.CCC... K99 D99
2 2 0 GG.LIHBBBLIHFEAA.JFE...JFDDDK.CCC.K. K98 D99
2 2 0 GG.LIHBBBLIHFEAAKJFE..KJFDDD...CCC.. C99 D99
2 2 0 GG.LIHBBBLIHFEAAKJFE..KJFDDD....CCC. C98 D99
2 2 0 GG.LIHBBBLIHFEAAKJFE..KJFDDD.....CCC C97 D99
2 2 0 GG.LIHBBBLIHFEAAKJFE..KJF..DDD.CCC.. C99 D99
2 2 0 GG.LIHBBBLIHFEAAKJFE..KJF..DDD..CCC. C98 D99
2 2 0 GG.LIHBBBLIHFEAAKJFE..KJF..DDD...CCC C97 D99
2 2 0 GG.LIHBBBLIH.EAAKJFE..KJF.DDD.FCCC.. F99 C99
2 2 0 GG.LIHBBBLIH.EAAKJFE..KJF.DDD.F.CCC. F99 C98
2 2 0 GG.LIHBBBLIHF.AAKJF...KJFEDDD..ECCC. E98 C98
2 2 0 GG.LIHBBBLIH.EAAKJFE..KJF.DDD.F..CCC F99 C97
2 2 0 GG.LIHBBBLIHF.AAKJF...KJFEDDD..E.CCC E98 C97
3 3 0 .GGLIHBBBLIHFAA.KJFE..KJFEDDD.CCC... A99 E99 G99
3 3 0 .GGLIHBBBLIHF.AAK.FE..KJFEDDDJCCC... J99 E99 G99
3 3 0 .GGLIHBBBLIHF.AAK.FE..K.FEDDDJCCC..J J98 E99 G99
3 3 0 .GGLIHBBBLIHF.AAKJFE..KJFE.DDDCCC... D99 E99 G99
3 3 0 .GGLIHBBBLIHF.AAKJFE..KJFEDDD..CCC.. C99 E99 G99
3 3 0 .GGLIHBBBLIHF.AAKJFE..KJFEDDD...CCC. C98 E99 G99
3 3 0 .GGLIHBBBLIHF.AAKJFE..KJFEDDD....CCC C97 E99 G99
3 3 0 .GGLI.BBBLIHFEAAKHFE..KJF.DDDJCCC... H99 J99 G99
3 3 0 .GGLIHBBBLIHFEAAK.FE..KJFDDD.JCCC... D99 J99 G99
3 3 0 .GGLIHBBBLIHFEAAK.FE..KJF.DDDJ.CCC.. C99 J99 G99
3 3 0 .GGLIHBBBLIHFEAAK.FE..KJF.DDDJ..CCC. C98 J99 G99
3 3 0 .GGLIHBBBLIHFEAAK.FE..KJF.DDDJ...CCC C97 J99 G99
3 3 0 .GGLI.BBBLIHFEAAKHFE..K.F.DDDJCCC..J H99 J98 G99
3 3 0 .GGLI.BBBLI.FEAAKHFE..KHF.DDDJCCC..J H98 J98 G99
3 3 0 .GGLIHBBBLIHFEAAK.FE..K.FDDD.JCCC..J D99 J98 G99
3 3 0 .GGLIHBBBLIHFEAAK.FE..K.F.DDDJ.CCC.J C99 J98 G99
3 3 0 .GGLIHBBBLIHFEAAK.FE..K.F.DDDJ..CCCJ C98 J98 G99
3 3 0 .GGLIHBBBLIHFEAA.JFE..KJFDDDK.CCC... K99 D99 G99
3 3 0 .GGLIHBBBLIHFEAA.JFE...JFDDDK.CCC.K. K98 D99 G99
3 3 0 .GGLIHBBBLIHFEAAKJFE..KJFDDD...CCC.. C99 D99 G99
3 3 0 .GGLIHBBBLIHFEAAKJFE..KJFDDD....CCC. C98 D99 G99
3 3 0 .GGLIHBBBLIHFEAAKJFE..KJFDDD.....CCC C97 D99 G99
3 3 0 .GGLIHBBBLIHFEAAKJFE..KJF..DDD.CCC.. C99 D99 G99
3 3 0 .GGLIHBBBLIHFEAAKJFE..KJF..DDD..CCC. C98 D99 G99
3 3 0 .GGLIHBBBLIHFEAAKJFE..KJF..DDD...CCC C97 D99 G99
3 3 0 .GGLIHBBBLIH.EAAKJFE..KJF.DDD.FCCC.. F99 C99 G99
3 3 0 .GGLIHBBBLIH.EAAKJFE..KJF.DDD.F.CCC. F99 C98 G99
3 3 0 .GGLIHBBBLIHF.AAKJF...KJFEDDD..ECCC. E98 C98 G99
3 3 0 .GGLIHBBBLIH.EAAKJFE..KJF.DDD.F..CCC F99 C97 G99
3 3 0 .GGLIHBBBLIHF.AAKJF...KJFEDDD..E.CCC E98 C97 G99
3 3 0 GG..IHBBBLIHFAALKJFE..KJFEDDD.CCC... L99 A99 E99
3 3 0 GG..IHBBB.IHFAALKJFE.LKJFEDDD.CCC... L98 A99 E99
3 3 0 GG.LIHBBBLIHFAA.K.FE..KJFEDDDJCCC... J99 A99 E99
3 3 0 GG.LIHBBBLIHFAA.K.FE..K.FEDDDJCCC..J J98 A99 E99
3 3 0 GG.LIHBBBLIHFAA.KJFE..KJFE.DDDCCC... D99 A99 E99
3 3 0 GG.LIHBBBLIHFAA.KJFE..KJFEDDD..CCC.. C99 A99 E99
3 3 0 GG.LIHBBBLIHFAA.KJFE..KJFEDDD...CCC. C98 A99 E99
3 3 0 GG.LIHBBBLIHFAA.KJFE..KJFEDDD....CCC C97 A99 E99
3 3 0 GG.LI.BBBLIHF.AAKHFE..KJFEDDDJCCC... H99 J99 E99
3 3 0 GG.LIHBBBLIHF.AAK.FE..KJFEDDDJ.CCC.. C99 J99 E99
3 3 0 GG.LIHBBBLIHF.AAK.FE..KJFEDDDJ..CCC. C98 J99 E99
3 3 0 GG.LIHBBBLIHF.AAK.FE..KJFEDDDJ...CCC C97 J99 E99
3 3 0 GG.LI.BBBLIHF.AAKHFE..K.FEDDDJCCC..J H99 J98 E99
3 3 0 GG.LI.BBBLI.F.AAKHFE..KHFEDDDJCCC..J H98 J98 E99
3 3 0 GG.LIHBBBLIHF.AAK.FE..K.FEDDDJ.CCC.J C99 J98 E99
