0 0 0 LLLDMEBB.DME.AAFJKIHHFJKI...JK.GG...
1 1 0 LLLDME.BBDME.AAFJKIHHFJKI...JK.GG... B99
1 1 0 LLLDMEBB.DMEAA.FJKIHHFJKI...JK.GG... A99
1 1 0 LLLDMEBB.DME.AA.JKIHHFJKI..FJK.GG... F99
1 1 0 LLLDMEBB.DME.AA.JKIHH.JKI..FJK.GGF.. F98
1 1 0 LLLDMEBB.DME.AAF.KIHHFJKI...JK.GG.J. J99
1 1 0 LLLDMEBB.DME.AAFJ.IHHFJKI...JK.GG..K K99
1 1 0 LLLDMEBB.DMEIAAFJKIHHFJK....JK.GG... I99
1 1 0 LLLDMEBB.DME.AAFJK.HHFJKI...JKIGG... I99
1 1 0 LLLDMEBB.DME.AAFJKIHHFJKI...JKGG.... G99
1 1 0 LLLDMEBB.DME.AAFJKIHHFJKI...JK..GG.. G99
1 1 0 LLLDMEBB.DME.AAFJKIHHFJKI...JK...GG. G98
1 1 0 LLLDMEBB.DME.AAFJKIHHFJKI...JK....GG G97
2 2 0 LLLDMEBB.DME.AAFJKIHHFJKI...JK.GG... B98 B99
2 2 0 LLLDME.BBDMEAA.FJKIHHFJKI...JK.GG... A99 B99
2 2 0 LLLDME.BBDME.AA.JKIHHFJKI..FJK.GG... F99 B99
2 2 0 LLLDME.BBDME.AA.JKIHH.JKI..FJK.GGF.. F98 B99
2 2 0 LLLDME.BBDME.AAF.KIHHFJKI...JK.GG.J. J99 B99
2 2 0 LLLDME.BBDME.AAFJ.IHHFJKI...JK.GG..K K99 B99
2 2 0 LLLDME.BBDMEIAAFJKIHHFJK....JK.GG... I99 B99
2 2 0 LLLDMEIBBDMEIAAFJK.HHFJK....JK.GG... I98 B99
2 2 0 LLLDME.BBDME.AAFJK.HHFJKI...JKIGG... I99 B99
2 2 0 LLLDME.BBDME.AAFJKIHHFJKI...JKGG.... G99 B99
2 2 0 LLLDME.BBDME.AAFJKIHHFJKI...JK..GG.. G99 B99
2 2 0 LLLDME.BBDME.AAFJKIHHFJKI...JK...GG. G98 B99
2 2 0 LLLDME.BBDME.AAFJKIHHFJKI...JK....GG G97 B99
2 2 0 LLLDMEBB.DMEAA..JKIHHFJKI..FJK.GG... F99 A99
2 2 0 LLLDMEBB.DMEAA..JKIHH.JKI..FJK.GGF.. F98 A99
2 2 0 LLLDMEBB.DMEAA.F.KIHHFJKI...JK.GG.J. J99 A99
2 2 0 LLLDMEBB.DMEAA.FJ.IHHFJKI...JK.GG..K K99 A99
2 2 0 LLLDMEBB.DMEAA.FJK.HHFJKI...JKIGG... I99 A99
2 2 0 LLLDMEBB.DMEAA.FJKIHHFJKI...JKGG.... G99 A99
2 2 0 LLLDMEBB.DMEAA.FJKIHHFJKI...JK..GG.. G99 A99
2 2 0 LLLDMEBB.DMEAA.FJKIHHFJKI...JK...GG. G98 A99
2 2 0 LLLDMEBB.DMEAA.FJKIHHFJKI...JK....GG G97 A99
2 2 0 LLL.MEBB.DME.AADJKIHHFJKI..FJK.GG... D99 F99
2 2 0 LLLDMEBB.DME..AAJKIHHFJKI..FJK.GG... A99 F99
2 2 0 LLLDMEBB.DME.AA..KIHHFJKI..FJK.GG.J. J99 F99
2 2 0 LLLDMEBB.DME.AA.J.IHHFJKI..FJK.GG..K K99 F99
2 2 0 LLLDMEBB.DMEIAA.JKIHHFJK...FJK.GG... I99 F99
2 2 0 LLLDMEBB.DME.AA.JK.HHFJKI..FJKIGG... I99 F99
2 2 0 LLLDMEBB.DME.AA.JKIHHFJKI..FJKGG.... G99 F99
2 2 0 LLLDMEBB.DME.AA.JKIHHFJKI..FJK..GG.. G99 F99
2 2 0 LLLDMEBB.DME.AA.JKIHHFJKI..FJK...GG. G98 F99
2 2 0 LLLDMEBB.DME.AA.JKIHHFJKI..FJK....GG G97 F99
2 2 0 LLL.MEBB.DME.AADJKIHH.JKI..FJK.GGF.. D99 F98
2 2 0 LLL.MEBB..ME.AADJKIHHDJKI..FJK.GGF.. D98 F98
2 2 0 LLLDMEBB.DME..AAJKIHH.JKI..FJK.GGF.. A99 F98
2 2 0 LLLDMEBB.DME.AA..KIHH.JKI..FJK.GGFJ. J99 F98
2 2 0 LLLDMEBB.DME.AA.J.IHH.JKI..FJK.GGF.K K99 F98
2 2 0 LLLDMEBB.DMEIAA.JKIHH.JK...FJK.GGF.. I99 F98
2 2 0 LLLDMEBB.DME.AA.JK.HH.JKI..FJKIGGF.. I99 F98
2 2 0 LLLDMEBB.DME.AA.JKI.HHJKI..FJK.GGF.. H99 F98
2 2 0 LLLDMEBB.DME.AA.JKIHH.JKI..FJKGG.F.. G99 F98
2 2 0 LLLD.EBB.DME.AAFMKIHHFJKI...JK.GG.J. M99 J99
2 2 0 LLLDMEBB.DME.AAF..IHHFJKI...JK.GG.JK K99 J99
2 2 0 LLLDMEBB.DMEIAAF.KIHHFJK....JK.GG.J. I99 J99
2 2 0 LLLDMEBB.DME.AAF.K.HHFJKI...JKIGG.J. I99 J99
2 2 0 LLLDMEBB.DME.AAF.KIHHFJKI...JKGG..J. G99 J99
2 2 0 LLLDMEBB.DME.AAF.KIHHFJKI...JK..GGJ. G99 J99
2 2 0 LLLDM.BB.DME.AAFJEIHHFJKI...JK.GG..K E99 K99
2 2 0 LLLDMEBB.DMEIAAFJ.IHHFJK....JK.GG..K I99 K99
2 2 0 LLLDMEBB.DME.AAFJ..HHFJKI...JKIGG..K I99 K99
2 2 0 LLLDMEBB.DME.AAFJ.IHHFJKI...JKGG...K G99 K99
2 2 0 LLLDMEBB.DME.AAFJ.IHHFJKI...JK..GG.K G99 K99
2 2 0 LLLDMEBB.DME.AAFJ.IHHFJKI...JK...GGK G98 K99
2 2 0 LLLDMEBB.DMEIAAFJKIHHFJK....JKGG.... G99 I99
2 2 0 LLLDMEBB.DMEIAAFJKIHHFJK....JK..GG.. G99 I99
2 2 0 LLLDMEBB.DMEIAAFJKIHHFJK....JK...GG. G98 I99
2 2 0 LLLDMEBB.DMEIAAFJKIHHFJK....JK....GG G97 I99
2 2 0 LLLDMEBB.DME.AAFJKHH.FJKI...JKIGG... H99 I99
2 2 0 LLLDMEBB.DME.AAFJK.HHFJKI...JKI.GG.. G99 I99
2 2 0 LLLDMEBB.DME.AAFJK.HHFJKI...JKI..GG. G98 I99
2 2 0 LLLDMEBB.DME.AAFJK.HHFJKI...JKI...GG G97 I99
2 2 0 LLLDMEBB.DME.AA.JKIHH.JKI..FJK...FGG F98 G97
3 3 0 LLLDME.BBDMEAA..JKIHHFJKI..FJK.GG... F99 A99 B99
3 3 0 LLLDME.BBDMEAA..JKIHH.JKI..FJK.GGF.. F98 A99 B99
3 3 0 LLLDME.BBDMEAA.F.KIHHFJKI...JK.GG.J. J99 A99 B99
3 3 0 LLLDME.BBDMEAA.FJ.IHHFJKI...JK.GG..K K99 A99 B99
3 3 0 LLLDME.BBDMEAA.FJK.HHFJKI...JKIGG... I99 A99 B99
3 3 0 LLLDME.BBDMEAA.FJKIHHFJKI...JKGG.... G99 A99 B99
3 3 0 LLLDME.BBDMEAA.FJKIHHFJKI...JK..GG.. G99 A99 B99
3 3 0 LLLDME.BBDMEAA.FJKIHHFJKI...JK...GG. G98 A99 B99
3 3 0 LLLDME.BBDMEAA.FJKIHHFJKI...JK....GG G97 A99 B99
3 3 0 LLL.ME.BBDME.AADJKIHHFJKI..FJK.GG... D99 F99 B99
3 3 0 LLLDME.BBDME..AAJKIHHFJKI..FJK.GG... A99 F99 B99
3 3 0 LLLDME.BBDME.AA..KIHHFJKI..FJK.GG.J. J99 F99 B99
3 3 0 LLLDME.BBDME.AA.J.IHHFJKI..FJK.GG..K K99 F99 B99
3 3 0 LLLDME.BBDMEIAA.JKIHHFJK...FJK.GG... I99 F99 B99
3 3 0 LLLDMEIBBDMEIAA.JK.HHFJK...FJK.GG... I98 F99 B99
3 3 0 LLLDME.BBDME.AA.JK.HHFJKI..FJKIGG... I99 F99 B99
3 3 0 LLLDME.BBDME.AA.JKIHHFJKI..FJKGG.... G99 F99 B99
3 3 0 LLLDME.BBDME.AA.JKIHHFJKI..FJK..GG.. G99 F99 B99
3 3 0 LLLDME.BBDME.AA.JKIHHFJKI..FJK...GG. G98 F99 B99
3 3 0 LLLDME.BBDME.AA.JKIHHFJKI..FJK....GG G97 F99 B99
3 3 0 LLL.ME.BBDME.AADJKIHH.JKI..FJK.GGF.. D99 F98 B99
3 3 0 LLL.ME.BB.ME.AADJKIHHDJKI..FJK.GGF.. D98 F98 B99
3 3 0 LLLDME.BBDME..AAJKIHH.JKI..FJK.GGF.. A99 F98 B99
3 3 0 LLLDME.BBDME.AA..KIHH.JKI..FJK.GGFJ. J99 F98 B99
3 3 0 LLLDME.BBDME.AA.J.IHH.JKI..FJK.GGF.K K99 F98 B99
3 3 0 LLLDME.BBDMEIAA.JKIHH.JK...FJK.GGF.. I99 F98 B99
3 3 0 LLLDMEIBBDMEIAA.JK.HH.JK...FJK.GGF.. I98 F98 B99
3 3 0 LLLDME.BBDME.AA.JK.HH.JKI..FJKIGGF.. I99 F98 B99
3 3 0 LLLDME.BBDME.AA.JKI.HHJKI..FJK.GGF.. H99 F98 B99
3 3 0 LLLDME.BBDME.AA.JKIHH.JKI..FJKGG.F.. G99 F98 B99
3 3 0 LLLD.E.BBDME.AAFMKIHHFJKI...JK.GG.J. M99 J99 B99
3 3 0 LLLDME.BBDME.AAF..IHHFJKI...JK.GG.JK K99 J99 B99
3 3 0 LLLDME.BBDMEIAAF.KIHHFJK....JK.GG.J. I99 J99 B99
3 3 0 LLLDMEIBBDMEIAAF.K.HHFJK....JK.GG.J. I98 J99 B99
3 3 0 LLLDME.BBDME.AAF.K.HHFJKI...JKIGG.J. I99 J99 B99
3 3 0 LLLDME.BBDME.AAF.KIHHFJKI...JKGG..J. G99 J99 B99
3 3 0 LLLDME.BBDME.AAF.KIHHFJKI...JK..GGJ. G99 J99 B99
3 3 0 LLLDM..BBDME.AAFJEIHHFJKI...JK.GG..K E99 K99 B99
3 3 0 LLLDME.BBDMEIAAFJ.IHHFJK....JK.GG..K I99 K99 B99
3 3 0 LLLDMEIBBDMEIAAFJ..HHFJK....JK.GG..K I98 K99 B99
3 3 0 LLLDME.BBDME.AAFJ..HHFJKI...JKIGG..K I99 K99 B99
3 3 0 LLLDME.BBDME.AAFJ.IHHFJKI...JKGG...K G99 K99 B99
3 3 0 LLLDME.BBDME.AAFJ.IHHFJKI...JK..GG.K G99 K99 B99
3 3 0 LLLDME.BBDME.AAFJ.IHHFJKI...JK...GGK G98 K99 B99
3 3 0 LLLDME.BBDMEIAAFJKIHHFJK....JKGG.... G99 I99 B99
3 3 0 LLLDME.BBDMEIAAFJKIHHFJK....JK..GG.. G99 I99 B99
3 3 0 LLLDME.BBDMEIAAFJKIHHFJK....JK...GG. G98 I99 B99
3 3 0 LLLDME.BBDMEIAAFJKIHHFJK....JK....GG G97 I99 B99
3 3 0 LLLDMEIBBDMEIAAFJKHH.FJK....JK.GG... H99 I98 B99
3 3 0 LLLDMEIBBDMEIAAFJK.HHFJK....JKGG.... G99 I98 B99
3 3 0 LLLDMEIBBDMEIAAFJK.HHFJK....JK..GG.. G99 I98 B99
3 3 0 LLLDMEIBBDMEIAAFJK.HHFJK....JK...GG. G98 I98 B99
3 3 0 LLLDMEIBBDMEIAAFJK.HHFJK....JK....GG G97 I98 B99
3 3 0 LLLDME.BBDME.AAFJKHH.FJKI...JKIGG... H99 I99 B99
3 3 0 LLLDME.BBDME.AAFJK.HHFJKI...JKI.GG.. G99 I99 B99
3 3 0 LLLDME.BBDME.AAFJK.HHFJKI...JKI..GG. G98 I99 B99
3 3 0 LLLDME.BBDME.AAFJK.HHFJKI...JKI...GG G97 I99 B99
3 3 0 LLLDME.BBDME.AA.JKIHH.JKI..FJK...FGG F98 G97 B99
3 3 0 LLL.MEBB.DMEAA.DJKIHHFJKI..FJK.GG... D99 F99 A99
3 3 0 LLLDMEBB.DMEAA...KIHHFJKI..FJK.GG.J. J99 F99 A99
3 3 0 LLLDMEBB.DMEAA..J.IHHFJKI..FJK.GG..K K99 F99 A99
3 3 0 LLLDMEBB.DMEAA..JK.HHFJKI..FJKIGG... I99 F99 A99
3 3 0 LLLDMEBB.DMEAA..JKIHHFJKI..FJKGG.... G99 F99 A99
3 3 0 LLLDMEBB.DMEAA..JKIHHFJKI..FJK..GG.. G99 F99 A99
3 3 0 LLLDMEBB.DMEAA..JKIHHFJKI..FJK...GG. G98 F99 A99
3 3 0 LLLDMEBB.DMEAA..JKIHHFJKI..FJK....GG G97 F99 A99
3 3 0 LLL.MEBB.DMEAA.DJKIHH.JKI..FJK.GGF.. D99 F98 A99
3 3 0 LLL.MEBB..MEAA.DJKIHHDJKI..FJK.GGF.. D98 F98 A99
3 3 0 LLLDMEBB.DMEAA...KIHH.JKI..FJK.GGFJ. J99 F98 A99
